
           ####    G N O M   ---   Version 4.5a revised 09/02/02     ####

                                                  Mon Mar 16 17:25:54 2009
           ===    Run No   1   ===
 Run title:   Merge of: P4P6_1_6.002 P4P6_1_60.00


   *******    Input file(s) : P4P6_1_merged.dat
           Condition P(rmin) = 0 is used. 
           Condition P(rmax) = 0 is used. 

          Highest ALPHA is found to be   0.2993E+04

  The measure of inconsistency AN1 equals to    0.5996E+00
     Alpha    Discrp  Oscill  Stabil  Sysdev  Positv  Valcen    Total   
  0.2993E+07 79.9178  1.7541  0.9793  0.0000  1.0000  0.7246  0.16196
  0.5987E+06 77.1368  1.7390  0.9396  0.0000  1.0000  0.7269  0.16638
  0.1197E+06 66.9432  1.6735  0.7981  0.0441  1.0000  0.7370  0.18716
  0.2395E+05 47.4549  1.4950  0.5700  0.1002  1.0000  0.7690  0.25395
  0.4789E+04 26.8013  1.3507  0.3844  0.0040  1.0000  0.8159  0.31719
  0.9579E+03 10.0849  1.3403  0.1578  0.1082  1.0000  0.8469  0.38053
  0.1916E+03  2.7886  1.3887  0.0472  0.2405  1.0000  0.8574  0.54176
  0.3831E+02  0.7201  1.4241  0.0142  0.5130  1.0000  0.8595  0.64671
  0.7663E+01  0.3680  1.4350  0.0033  0.6333  1.0000  0.8599  0.58814
  0.1533E+01  0.3418  1.4379  0.0020  0.6172  1.0000  0.8601  0.58287
  0.3065E+00  0.3389  1.4399  0.0013  0.6333  1.0000  0.8602  0.58187
  0.6130E-01  0.3386  1.4411  0.0011  0.6413  1.0000  0.8602  0.58144
  0.1226E-01  0.3386  1.4423  0.0026  0.6413  1.0000  0.8601  0.58087
  0.2452E-02  0.3385  1.4560  0.0096  0.6413  1.0000  0.8600  0.57456
  0.4904E-03  0.3382  1.6653  0.0378  0.6333  1.0000  0.8596  0.47938
  0.9809E-04  0.3372  3.6190  0.1826  0.6333  0.9977  0.8570  0.17306
  0.1962E-04  0.3338 10.9589  0.5504  0.6493  0.9531  0.6891  0.09107
  0.3923E-05  0.3266 15.7521  0.4733  0.6413  0.8464  0.3726  0.00000

          ***  Golden section search to maximize estimate ***
     Alpha    Discrp  Oscill  Stabil  Sysdev  Positv  Valcen    Total   
  0.7085E+02  1.1807  1.4144  0.0234  0.4329  1.0000  0.8591  0.56733
  0.3030E+02  0.6113  1.4268  0.0116  0.5371  1.0000  0.8596  0.64043
  0.4846E+02  0.8624  1.4209  0.0173  0.4890  1.0000  0.8594  0.62526
  0.3503E+02  0.6750  1.4252  0.0132  0.5371  1.0000  0.8596  0.64666
  0.4191E+02  0.7702  1.4230  0.0154  0.4970  1.0000  0.8595  0.64244
  0.3702E+02  0.7023  1.4246  0.0138  0.5210  1.0000  0.8595  0.64715
  0.3625E+02  0.6917  1.4248  0.0136  0.5291  1.0000  0.8595  0.64712
  0.3751E+02  0.7091  1.4244  0.0140  0.5130  1.0000  0.8595  0.64705
  0.3673E+02  0.6982  1.4247  0.0137  0.5291  1.0000  0.8595  0.64716
  0.3654E+02  0.6957  1.4247  0.0137  0.5291  1.0000  0.8595  0.64716
  0.3684E+02  0.6998  1.4246  0.0138  0.5291  1.0000  0.8595  0.64716
  0.3673E+02  0.6982  1.4247  0.0137  0.5291  1.0000  0.8595  0.64716



             ####            Final results            ####

 Parameter    DISCRP    OSCILL    STABIL    SYSDEV    POSITV    VALCEN
 Weight        1.000     3.000     3.000     3.000     1.000     1.000
 Sigma         0.300     0.600     0.120     0.120     0.120     0.120
 Ideal         0.700     1.100     0.000     1.000     1.000     0.950
 Current       0.698     1.425     0.014     0.529     1.000     0.860
                - - - - - - - - - - - - - - - - - - - - - - - - - 
 Estimate      1.000     0.746     0.987     0.000     1.000     0.567

  Angular   range    :     from    0.0137   to    0.3171
  Real space range   :     from      0.00   to    108.00

  Highest ALPHA (theor) :   0.299E+07                 JOB = 0
  Current ALPHA         :   0.367E+02   Rg :  0.314E+02   I(0) :   0.388E+03

           Total  estimate : 0.647  which is  A REASONABLE  solution

      S          J EXP       ERROR       J REG       I REG

  0.1368E-01  0.3324E+03  0.2371E+02  0.3651E+03  0.3651E+03
  0.1429E-01  0.3422E+03  0.1079E+02  0.3631E+03  0.3631E+03
  0.1490E-01  0.3502E+03  0.7691E+01  0.3610E+03  0.3610E+03
  0.1551E-01  0.3641E+03  0.8434E+01  0.3588E+03  0.3588E+03
  0.1612E-01  0.3631E+03  0.1123E+02  0.3566E+03  0.3566E+03
  0.1672E-01  0.3576E+03  0.7071E+01  0.3543E+03  0.3543E+03
  0.1733E-01  0.3616E+03  0.5823E+01  0.3519E+03  0.3519E+03
  0.1794E-01  0.3560E+03  0.6696E+01  0.3495E+03  0.3495E+03
  0.1855E-01  0.3378E+03  0.6416E+01  0.3470E+03  0.3470E+03
  0.1916E-01  0.3384E+03  0.4878E+01  0.3444E+03  0.3444E+03
  0.1976E-01  0.3401E+03  0.5232E+01  0.3418E+03  0.3418E+03
  0.2037E-01  0.3344E+03  0.4854E+01  0.3391E+03  0.3391E+03
  0.2098E-01  0.3362E+03  0.3813E+01  0.3364E+03  0.3364E+03
  0.2159E-01  0.3337E+03  0.4994E+01  0.3336E+03  0.3336E+03
  0.2220E-01  0.3295E+03  0.3325E+01  0.3307E+03  0.3307E+03
  0.2281E-01  0.3248E+03  0.3314E+01  0.3278E+03  0.3278E+03
  0.2341E-01  0.3220E+03  0.3412E+01  0.3249E+03  0.3249E+03
  0.2402E-01  0.3212E+03  0.3161E+01  0.3219E+03  0.3219E+03
  0.2463E-01  0.3188E+03  0.3477E+01  0.3189E+03  0.3189E+03
  0.2524E-01  0.3157E+03  0.3710E+01  0.3158E+03  0.3158E+03
  0.2585E-01  0.3132E+03  0.3674E+01  0.3127E+03  0.3127E+03
  0.2645E-01  0.3105E+03  0.3387E+01  0.3096E+03  0.3096E+03
  0.2706E-01  0.3088E+03  0.3398E+01  0.3064E+03  0.3064E+03
  0.2767E-01  0.3042E+03  0.2841E+01  0.3032E+03  0.3032E+03
  0.2828E-01  0.3008E+03  0.2707E+01  0.3000E+03  0.3000E+03
  0.2889E-01  0.2962E+03  0.2888E+01  0.2968E+03  0.2968E+03
  0.2949E-01  0.2939E+03  0.2983E+01  0.2935E+03  0.2935E+03
  0.3010E-01  0.2888E+03  0.2919E+01  0.2902E+03  0.2902E+03
  0.3071E-01  0.2857E+03  0.3548E+01  0.2869E+03  0.2869E+03
  0.3132E-01  0.2858E+03  0.3746E+01  0.2835E+03  0.2835E+03
  0.3193E-01  0.2795E+03  0.3203E+01  0.2801E+03  0.2801E+03
  0.3254E-01  0.2773E+03  0.2911E+01  0.2768E+03  0.2768E+03
  0.3314E-01  0.2738E+03  0.2840E+01  0.2734E+03  0.2734E+03
  0.3375E-01  0.2708E+03  0.2876E+01  0.2700E+03  0.2700E+03
  0.3436E-01  0.2687E+03  0.3240E+01  0.2666E+03  0.2666E+03
  0.3497E-01  0.2673E+03  0.3157E+01  0.2632E+03  0.2632E+03
  0.3558E-01  0.2639E+03  0.2972E+01  0.2598E+03  0.2598E+03
  0.3618E-01  0.2612E+03  0.2788E+01  0.2564E+03  0.2564E+03
  0.3679E-01  0.2562E+03  0.2749E+01  0.2529E+03  0.2529E+03
  0.3740E-01  0.2533E+03  0.2662E+01  0.2495E+03  0.2495E+03
  0.3801E-01  0.2500E+03  0.2458E+01  0.2461E+03  0.2461E+03
  0.3862E-01  0.2493E+03  0.2595E+01  0.2427E+03  0.2427E+03
  0.3922E-01  0.2406E+03  0.2883E+01  0.2393E+03  0.2393E+03
  0.3983E-01  0.2378E+03  0.1661E+01  0.2359E+03  0.2359E+03
  0.4044E-01  0.2347E+03  0.1358E+01  0.2325E+03  0.2325E+03
  0.4105E-01  0.2308E+03  0.1427E+01  0.2292E+03  0.2292E+03
  0.4166E-01  0.2260E+03  0.1445E+01  0.2258E+03  0.2258E+03
  0.4227E-01  0.2248E+03  0.1424E+01  0.2225E+03  0.2225E+03
  0.4287E-01  0.2215E+03  0.1448E+01  0.2191E+03  0.2191E+03
  0.4348E-01  0.2184E+03  0.1438E+01  0.2158E+03  0.2158E+03
  0.4409E-01  0.2161E+03  0.1453E+01  0.2125E+03  0.2125E+03
  0.4470E-01  0.2121E+03  0.1500E+01  0.2093E+03  0.2093E+03
  0.4531E-01  0.2082E+03  0.1335E+01  0.2060E+03  0.2060E+03
  0.4591E-01  0.2062E+03  0.1302E+01  0.2028E+03  0.2028E+03
  0.4652E-01  0.2016E+03  0.1370E+01  0.1996E+03  0.1996E+03
  0.4713E-01  0.1991E+03  0.1329E+01  0.1964E+03  0.1964E+03
  0.4774E-01  0.1964E+03  0.1276E+01  0.1932E+03  0.1932E+03
  0.4835E-01  0.1931E+03  0.1222E+01  0.1901E+03  0.1901E+03
  0.4895E-01  0.1886E+03  0.1248E+01  0.1870E+03  0.1870E+03
  0.4956E-01  0.1855E+03  0.1175E+01  0.1840E+03  0.1840E+03
  0.5017E-01  0.1825E+03  0.1215E+01  0.1809E+03  0.1809E+03
  0.5078E-01  0.1794E+03  0.1167E+01  0.1779E+03  0.1779E+03
  0.5139E-01  0.1773E+03  0.1255E+01  0.1749E+03  0.1749E+03
  0.5200E-01  0.1747E+03  0.1161E+01  0.1720E+03  0.1720E+03
  0.5260E-01  0.1710E+03  0.1188E+01  0.1691E+03  0.1691E+03
  0.5321E-01  0.1673E+03  0.1168E+01  0.1662E+03  0.1662E+03
  0.5382E-01  0.1645E+03  0.1202E+01  0.1633E+03  0.1633E+03
  0.5443E-01  0.1609E+03  0.1198E+01  0.1605E+03  0.1605E+03
  0.5504E-01  0.1580E+03  0.1254E+01  0.1577E+03  0.1577E+03
  0.5564E-01  0.1555E+03  0.1311E+01  0.1550E+03  0.1550E+03
  0.5625E-01  0.1534E+03  0.1470E+01  0.1523E+03  0.1523E+03
  0.5686E-01  0.1506E+03  0.1522E+01  0.1496E+03  0.1496E+03
  0.5747E-01  0.1479E+03  0.1735E+01  0.1470E+03  0.1470E+03
  0.5808E-01  0.1456E+03  0.1674E+01  0.1444E+03  0.1444E+03
  0.5868E-01  0.1430E+03  0.1333E+01  0.1418E+03  0.1418E+03
  0.5929E-01  0.1407E+03  0.1590E+01  0.1393E+03  0.1393E+03
