
           ####    G N O M   ---   Version 4.6                       ####

                                                    17-May-2012   09:26:16
           ===    Run No   1   ===
 Run title:   Merge of: S051_SPN_9p8 Avrag00.dat


  Number of points omitted at the end:         193
   *******    Input file(s) : saxs.dat
           Condition P(rmin) = 0 is used. 
           Condition P(rmax) = 0 is used. 

          Highest ALPHA is found to be   0.8009E+03

  The measure of inconsistency AN1 equals to    0.6683E+00
     Alpha    Discrp  Oscill  Stabil  Sysdev  Positv  Valcen    Total   
  0.8009E+06 54.0444  1.5502  0.9576  0.0000  1.0000  0.7614  0.23277
  0.1602E+06 49.6112  1.5137  0.8554  0.0000  1.0000  0.7700  0.24752
  0.3204E+05 38.8779  1.4019  0.6393  0.1455  1.0000  0.8007  0.29513
  0.6407E+04 24.8659  1.2984  0.4571  0.2182  1.0000  0.8548  0.35185
  0.1281E+04 10.7593  1.2954  0.2337  0.1164  1.0000  0.8958  0.38177
  0.2563E+03  3.1779  1.3222  0.0715  0.4364  1.0000  0.9129  0.55229
  0.5126E+02  0.9278  1.3471  0.0182  0.6909  1.0000  0.9170  0.66307
  0.1025E+02  0.5724  1.3579  0.0052  0.7709  1.0000  0.9177  0.69426
  0.2050E+01  0.5391  1.3643  0.0036  0.7709  1.0000  0.9179  0.68561
  0.4101E+00  0.5330  1.3731  0.0049  0.7709  1.0000  0.9180  0.68140
  0.8201E-01  0.5304  1.3948  0.0115  0.7709  1.0000  0.9183  0.67224
  0.1640E-01  0.5272  1.5332  0.0314  0.7709  0.9999  0.9192  0.60962
  0.3281E-02  0.5200  2.6672  0.1014  0.7709  0.9988  0.9195  0.34879
  0.6561E-03  0.5067  6.3550  0.1587  0.7855  0.9866  0.9012  0.26163
  0.1312E-03  0.4991 10.2405  0.2168  0.7855  0.9569  0.8267  0.17522
  0.2624E-04  0.4933 15.8848  0.5449  0.7564  0.8902  0.6093  0.00000

          ***  Golden section search to maximize estimate ***
     Alpha    Discrp  Oscill  Stabil  Sysdev  Positv  Valcen    Total   
  0.1896E+02  0.6267  1.3547  0.0080  0.7782  1.0000  0.9175  0.70516
  0.2772E+02  0.6963  1.3523  0.0108  0.7636  1.0000  0.9174  0.70671
  0.3506E+02  0.7631  1.3505  0.0131  0.7782  1.0000  0.9173  0.70567
  0.2397E+02  0.6650  1.3532  0.0096  0.7636  1.0000  0.9175  0.70574
  0.3032E+02  0.7192  1.3516  0.0116  0.7782  1.0000  0.9173  0.70927
  0.3205E+02  0.7350  1.3512  0.0122  0.7782  1.0000  0.9173  0.70838
  0.2930E+02  0.7101  1.3519  0.0113  0.7636  1.0000  0.9174  0.70654
  0.3097E+02  0.7251  1.3515  0.0118  0.7782  1.0000  0.9173  0.70899
  0.2993E+02  0.7157  1.3517  0.0115  0.7636  1.0000  0.9174  0.70637
  0.3057E+02  0.7215  1.3515  0.0117  0.7782  1.0000  0.9173  0.70917
  0.3017E+02  0.7179  1.3516  0.0116  0.7636  1.0000  0.9173  0.70629
  0.3041E+02  0.7201  1.3516  0.0116  0.7782  1.0000  0.9173  0.70923
  0.3032E+02  0.7192  1.3516  0.0116  0.7782  1.0000  0.9173  0.70927



             ####            Final results            ####

 Parameter    DISCRP    OSCILL    STABIL    SYSDEV    POSITV    VALCEN
 Weight        1.000     3.000     3.000     3.000     1.000     1.000
 Sigma         0.300     0.600     0.120     0.120     0.120     0.120
 Ideal         0.700     1.100     0.000     1.000     1.000     0.950
 Current       0.719     1.352     0.012     0.778     1.000     0.917
                - - - - - - - - - - - - - - - - - - - - - - - - - 
 Estimate      0.996     0.839     0.991     0.033     1.000     0.929

  Angular   range    :     from    0.0000   to    0.4034
  Real space range   :     from      0.00   to    102.78

  Highest ALPHA (theor) :   0.801E+06                 JOB = 0
  Current ALPHA         :   0.303E+02   Rg :  0.302E+02   I(0) :   0.229E+01

           Total  estimate : 0.709  which is  A REASONABLE  solution

      S          J EXP       ERROR       J REG       I REG

  0.0000E+00  0.2274E+01  0.2480E-01  0.2294E+01  0.2294E+01
  0.1228E-01  0.1978E+01  0.2317E+00  0.2191E+01  0.2191E+01
  0.1371E-01  0.2015E+01  0.1594E+00  0.2167E+01  0.2167E+01
  0.1513E-01  0.2025E+01  0.1198E+00  0.2140E+01  0.2140E+01
  0.1656E-01  0.2039E+01  0.1035E+00  0.2110E+01  0.2110E+01
  0.1799E-01  0.2041E+01  0.8605E-01  0.2079E+01  0.2079E+01
  0.1942E-01  0.2022E+01  0.7191E-01  0.2045E+01  0.2045E+01
  0.2084E-01  0.1981E+01  0.6571E-01  0.2010E+01  0.2010E+01
  0.2227E-01  0.1976E+01  0.6011E-01  0.1972E+01  0.1972E+01
  0.2370E-01  0.1918E+01  0.6382E-01  0.1933E+01  0.1933E+01
  0.2513E-01  0.1892E+01  0.4785E-01  0.1893E+01  0.1893E+01
  0.2655E-01  0.1856E+01  0.4411E-01  0.1851E+01  0.1851E+01
  0.2798E-01  0.1821E+01  0.4269E-01  0.1807E+01  0.1807E+01
  0.2941E-01  0.1765E+01  0.3847E-01  0.1762E+01  0.1762E+01
  0.3084E-01  0.1722E+01  0.3468E-01  0.1717E+01  0.1717E+01
  0.3226E-01  0.1692E+01  0.3058E-01  0.1670E+01  0.1670E+01
  0.3369E-01  0.1630E+01  0.3108E-01  0.1623E+01  0.1623E+01
  0.3512E-01  0.1581E+01  0.2917E-01  0.1575E+01  0.1575E+01
  0.3655E-01  0.1544E+01  0.2590E-01  0.1526E+01  0.1526E+01
  0.3797E-01  0.1505E+01  0.2424E-01  0.1477E+01  0.1477E+01
  0.3940E-01  0.1446E+01  0.2158E-01  0.1428E+01  0.1428E+01
  0.4083E-01  0.1386E+01  0.1668E-01  0.1379E+01  0.1379E+01
  0.4226E-01  0.1363E+01  0.8444E-02  0.1330E+01  0.1330E+01
  0.4368E-01  0.1305E+01  0.1027E-01  0.1281E+01  0.1281E+01
  0.4511E-01  0.1253E+01  0.9287E-02  0.1232E+01  0.1232E+01
  0.4654E-01  0.1212E+01  0.6553E-02  0.1184E+01  0.1184E+01
  0.4797E-01  0.1159E+01  0.8186E-02  0.1136E+01  0.1136E+01
  0.4939E-01  0.1101E+01  0.8269E-02  0.1089E+01  0.1089E+01
  0.5082E-01  0.1052E+01  0.7704E-02  0.1042E+01  0.1042E+01
  0.5225E-01  0.1004E+01  0.7792E-02  0.9968E+00  0.9968E+00
  0.5368E-01  0.9593E+00  0.6970E-02  0.9519E+00  0.9519E+00
  0.5510E-01  0.9149E+00  0.6429E-02  0.9081E+00  0.9081E+00
  0.5653E-01  0.8708E+00  0.5831E-02  0.8652E+00  0.8652E+00
  0.5796E-01  0.8380E+00  0.4387E-02  0.8234E+00  0.8234E+00
  0.5939E-01  0.7882E+00  0.5470E-02  0.7828E+00  0.7828E+00
  0.6081E-01  0.7428E+00  0.5215E-02  0.7433E+00  0.7433E+00
  0.6224E-01  0.7072E+00  0.5059E-02  0.7051E+00  0.7051E+00
  0.6367E-01  0.6700E+00  0.4890E-02  0.6681E+00  0.6681E+00
  0.6510E-01  0.6352E+00  0.4727E-02  0.6324E+00  0.6324E+00
  0.6652E-01  0.6009E+00  0.4436E-02  0.5980E+00  0.5980E+00
  0.6795E-01  0.5660E+00  0.3805E-02  0.5650E+00  0.5650E+00
  0.6938E-01  0.5339E+00  0.3749E-02  0.5333E+00  0.5333E+00
  0.7081E-01  0.5019E+00  0.3780E-02  0.5029E+00  0.5029E+00
  0.7224E-01  0.4734E+00  0.3526E-02  0.4738E+00  0.4738E+00
  0.7366E-01  0.4494E+00  0.3029E-02  0.4461E+00  0.4461E+00
  0.7509E-01  0.4278E+00  0.3351E-02  0.4197E+00  0.4197E+00
  0.7652E-01  0.3987E+00  0.3148E-02  0.3946E+00  0.3946E+00
  0.7795E-01  0.3704E+00  0.2769E-02  0.3708E+00  0.3708E+00
  0.7937E-01  0.3509E+00  0.2517E-02  0.3483E+00  0.3483E+00
  0.8080E-01  0.3280E+00  0.2691E-02  0.3269E+00  0.3269E+00
  0.8223E-01  0.3063E+00  0.2623E-02  0.3068E+00  0.3068E+00
  0.8366E-01  0.2859E+00  0.2619E-02  0.2878E+00  0.2878E+00
  0.8508E-01  0.2674E+00  0.2313E-02  0.2700E+00  0.2700E+00
  0.8651E-01  0.2502E+00  0.2346E-02  0.2532E+00  0.2532E+00
  0.8794E-01  0.2363E+00  0.2440E-02  0.2374E+00  0.2374E+00
  0.8937E-01  0.2244E+00  0.2255E-02  0.2227E+00  0.2227E+00
  0.9079E-01  0.2106E+00  0.2247E-02  0.2089E+00  0.2089E+00
  0.9222E-01  0.1954E+00  0.2117E-02  0.1961E+00  0.1961E+00
  0.9365E-01  0.1866E+00  0.1996E-02  0.1841E+00  0.1841E+00
  0.9508E-01  0.1729E+00  0.2000E-02  0.1729E+00  0.1729E+00
  0.9650E-01  0.1628E+00  0.1726E-02  0.1625E+00  0.1625E+00
  0.9793E-01  0.1519E+00  0.1808E-02  0.1528E+00  0.1528E+00
  0.9936E-01  0.1420E+00  0.1917E-02  0.1439E+00  0.1439E+00
  0.1008E+00  0.1336E+00  0.1872E-02  0.1355E+00  0.1355E+00
  0.1022E+00  0.1268E+00  0.1747E-02  0.1278E+00  0.1278E+00
  0.1036E+00  0.1228E+00  0.1788E-02  0.1207E+00  0.1207E+00
  0.1051E+00  0.1129E+00  0.1743E-02  0.1141E+00  0.1141E+00
  0.1065E+00  0.1060E+00  0.1571E-02  0.1079E+00  0.1079E+00
  0.1079E+00  0.9895E-01  0.1509E-02  0.1022E+00  0.1022E+00
  0.1094E+00  0.9584E-01  0.1433E-02  0.9698E-01  0.9698E-01
  0.1108E+00  0.9097E-01  0.1464E-02  0.9209E-01  0.9209E-01
  0.1122E+00  0.8594E-01  0.1436E-02  0.8756E-01  0.8756E-01
  0.1136E+00  0.8319E-01  0.1480E-02  0.8335E-01  0.8335E-01
  0.1151E+00  0.8060E-01  0.1387E-02  0.7944E-01  0.7944E-01
  0.1165E+00  0.7487E-01  0.1379E-02  0.7579E-01  0.7579E-01
  0.1179E+00  0.7215E-01  0.1396E-02  0.7239E-01  0.7239E-01
  0.1193E+00  0.6947E-01  0.1302E-02  0.6921E-01  0.6921E-01
  0.1208E+00  0.6626E-01  0.1284E-02  0.6624E-01  0.6624E-01
