# SAXS profile: number of points = 730, q_min = 0.018776, q_max = 0.614113, delta_q = 0.000658558628318584
# offset = -0.00371210025718918, scaling c = 3.87135007730976e-05, Chi = 3.66545644079345
#  q       exp_intensity   model_intensity
0.01878    402.96300000    416.46866571   
0.01944    416.86000000    414.95931459   
0.02009    427.13600000    413.41606393   
0.02075    410.92200000    411.81594534   
0.02141    409.15900000    410.17081669   
0.02207    406.89700000    408.49293094   
0.02273    403.38000000    406.75559786   
0.02339    411.43900000    404.97983382   
0.02405    403.12200000    403.17552176   
0.02471    407.86200000    401.30929220   
0.02536    399.47100000    399.40870169   
0.02602    396.30200000    397.47815020   
0.02668    393.12400000    395.48915814   
0.02734    388.50600000    393.47264279   
0.02800    394.85900000    391.42445392   
0.02866    382.15100000    389.31920381   
0.02932    386.21300000    387.18705112   
0.02998    384.67100000    385.02596765   
0.03063    379.30300000    382.81631445   
0.03129    378.47900000    380.57809330   
0.03195    377.82200000    378.31083675   
0.03261    377.48400000    375.99715078   
0.03327    377.11600000    373.65981015   
0.03393    380.11100000    371.29723482   
0.03459    371.12500000    368.88960450   
0.03525    366.10700000    366.46010077   
0.03590    364.88700000    364.00241311   
0.03656    358.37700000    361.50808706   
0.03722    361.23900000    358.99754226   
0.03788    360.26500000    356.45595590   
0.03854    351.24700000    353.88244845   
0.03920    350.32900000    351.29060972   
0.03986    347.89200000    348.67265768   
0.04052    347.94700000    346.03129429   
0.04118    344.98200000    343.36953719   
0.04183    342.92800000    340.68335297   
0.04249    345.32600000    337.97374175   
0.04315    338.46500000    335.24950082   
0.04381    335.15400000    332.50694145   
0.04447    333.39800000    329.74087412   
0.04513    322.57400000    326.96202498   
0.04579    327.33000000    324.16265418   
0.04645    319.51300000    321.34756848   
0.04710    316.05700000    318.52588465   
0.04776    318.71500000    315.68190070   
0.04842    316.85500000    312.82561963   
0.04908    310.67000000    309.96028242   
0.04974    309.73800000    307.07960389   
0.05040    304.06700000    304.19403233   
0.05106    303.64800000    301.29682842   
