# SAXS profile: number of points = 864, q_min = 0.012669, q_max = 0.557498, delta_q = 0.000562839876033058
# offset = 0.00000000000000, scaling c = 1.45554220405024e-05, Chi = 4.69214617913934
#  q       exp_intensity   model_intensity
0.01267    3478.60000000   3626.76024483  
0.01323    3485.19000000   3608.16675378  
0.01379    3470.11000000   3588.81706634  
0.01436    3449.02000000   3568.67280754  
0.01492    3452.77000000   3548.07355445  
0.01549    3431.81000000   3526.39199366  
0.01605    3410.89000000   3504.47892325  
0.01661    3406.45000000   3481.49379026  
0.01717    3390.59000000   3458.15856810  
0.01774    3364.45000000   3434.04067004  
0.01830    3357.05000000   3409.34302628  
0.01886    3326.81000000   3384.13713570  
0.01943    3302.22000000   3358.14066541  
0.01999    3285.17000000   3331.88994543  
0.02055    3259.19000000   3304.66296063  
0.02111    3239.44000000   3277.22217176  
0.02168    3220.18000000   3249.02426318  
0.02224    3189.20000000   3220.44146714  
0.02280    3166.90000000   3191.29273707  
0.02337    3145.15000000   3161.63928683  
0.02393    3117.48000000   3131.69100131  
0.02449    3090.81000000   3101.04291018  
0.02506    3068.01000000   3070.22138322  
0.02562    3032.76000000   3038.72794497  
0.02618    3013.34000000   3007.00940305  
0.02675    2984.52000000   2974.82342809  
0.02731    2960.35000000   2942.28544773  
0.02787    2933.81000000   2909.45811401  
0.02843    2900.64000000   2876.17911256  
0.02900    2868.47000000   2842.76720479  
0.02956    2838.77000000   2808.82507694  
0.03012    2802.75000000   2774.71500659  
0.03069    2770.38000000   2740.29464048  
0.03125    2739.93000000   2705.68597350  
0.03181    2707.67000000   2670.84324081  
0.03238    2670.56000000   2635.75558019  
0.03294    2635.34000000   2600.54707832  
0.03350    2603.18000000   2565.05795072  
0.03407    2572.78000000   2529.50519525  
0.03463    2540.39000000   2493.72537493  
0.03519    2506.17000000   2457.87547035  
0.03576    2464.92000000   2421.89014074  
0.03632    2433.07000000   2385.81994649  
0.03688    2400.55000000   2349.68436830  
0.03744    2367.66000000   2313.47050136  
0.03801    2338.70000000   2277.17064260  
0.03857    2300.12000000   2240.89015616  
0.03913    2266.92000000   2204.61023411  
0.03970    2222.99000000   2168.33211895  
0.04026    2186.77000000   2132.07959124  
0.04082    2155.10000000   2095.85688318  
0.04139    2121.79000000   2059.70429337  
0.04195    2082.12000000   2023.58385675  
0.04251    2044.97000000   1987.60033313  
0.04308    2005.31000000   1951.65654414  
0.04364    1968.47000000   1915.88255995  
0.04420    1935.80000000   1880.19531779  
0.04476    1898.13000000   1844.66430012  
0.04533    1864.31000000   1809.29777129  
0.04589    1828.24000000   1773.98735084  
0.04645    1792.33000000   1739.00366215  
0.04702    1755.54000000   1704.09444886  
0.04758    1723.34000000   1669.54052531  
0.04814    1687.56000000   1635.08988525  
0.04871    1649.59000000   1600.94260177  
0.04927    1617.07000000   1567.00613153  
0.04983    1578.47000000   1533.30007067  
0.05040    1548.65000000   1499.92943414  
0.05096    1513.42000000   1466.70146198  
0.05152    1481.74000000   1433.94441760  
0.05208    1432.11000000   1401.30634976  
0.05265    1394.10000000   1369.13025183  
0.05321    1354.05000000   1337.16693626  
0.05377    1326.33000000   1305.50516663  
0.05434    1307.50000000   1274.25783943  
0.05490    1277.71000000   1243.25080411  
0.05546    1246.46000000   1212.75632305  
0.05603    1212.84000000   1182.40251396  
0.05659    1184.79000000   1152.66767604  
0.05715    1154.33000000   1123.11298733  
0.05772    1131.34000000   1094.04542448  
0.05828    1094.83000000   1065.31794676  
0.05884    1070.17000000   1036.93912429  
0.05940    1044.52000000   1009.06657944  
0.05997    1013.91000000   981.39329231   
0.06053    988.51700000    954.39976250   
0.06109    958.43500000    927.56997471   
0.06166    927.95600000    901.35380553   
0.06222    900.29100000    875.38302872   
0.06278    874.29100000    849.91401533   
0.06335    845.88800000    824.90883397   
0.06391    818.47300000    800.19455957   
0.06447    793.83900000    776.12228495   
0.06503    772.69900000    752.22166599   
0.06560    744.79900000    729.04334877   
0.06616    724.24400000    706.08647556   
0.06672    699.04200000    683.68253975   
0.06729    677.55300000    661.67466734   
0.06785    656.20600000    640.04768681   
0.06841    636.59100000    618.99193152   
0.06898    617.41500000    598.14364911   
0.06954    594.58000000    578.03864396   
0.07010    571.61300000    558.10702939   
0.07067    551.38400000    538.77521971   
0.07123    529.97300000    519.79103722   
0.07179    510.22500000    501.26389322   
0.07236    494.88100000    483.21977539   
0.07292    479.13200000    465.45867744   
0.07348    460.10900000    448.34464863   
0.07404    440.69700000    431.39953436   
0.07461    424.71900000    415.14566916   
0.07517    408.46500000    399.11527361   
0.07573    394.40200000    383.60150285   
0.07630    381.64200000    368.47164323   
0.07686    363.93400000    353.68809076   
0.07742    348.74600000    339.44182585   
0.07798    332.97700000    325.37508739   
0.07855    319.74700000    311.99424368   
0.07911    306.32200000    298.76841218   
0.07967    294.55300000    286.07484818   
0.08024    278.96400000    273.68967740   
0.08080    268.88500000    261.69490920   
0.08136    258.59700000    250.12656991   
0.08193    248.55700000    238.79136767   
0.08249    235.47600000    228.01636869   
0.08305    224.90200000    217.38381904   
0.08362    211.89300000    207.31891100   
0.08418    200.93600000    197.44759375   
0.08474    191.94800000    187.99159096   
0.08531    182.21500000    178.85548510   
0.08587    173.98800000    169.98998839   
0.08643    163.98900000    161.56201276   
0.08699    156.36000000    153.26803972   
0.08756    147.68000000    145.52035953   
0.08812    140.02100000    137.89218227   
0.08868    134.15400000    130.68344929   
0.08925    127.91300000    123.68712252   
0.08981    121.90100000    116.99173206   
0.09037    115.58100000    110.62292836   
0.09094    107.76600000    104.42048819   
0.09150    101.70900000    98.63702504    
0.09206    95.25290000     92.95721970    
0.09262    90.68970000     87.68080942    
0.09319    85.57320000     82.54867540    
0.09375    80.36410000     77.70433661    
0.09431    76.03940000     73.09000779    
0.09488    71.74610000     68.65808127    
0.09544    67.96610000     64.53302959    
0.09600    63.94080000     60.49574962    
0.09657    60.29880000     56.82904839    
0.09713    55.49960000     53.24319654    
0.09769    53.58180000     49.92936217    
0.09825    49.60900000     46.76664585    
0.09882    46.62330000     43.78646254    
0.09938    43.08630000     41.01383393    
0.09995    40.74300000     38.34735468    
0.10051    38.13440000     35.94739191    
0.10107    36.96380000     33.61126804    
0.10163    34.48050000     31.51756650    
0.10220    32.34080000     29.51427246    
0.10276    29.87490000     27.67894999    
0.10332    27.95950000     25.98220495    
0.10389    26.76320000     24.38843132    
0.10445    25.73040000     22.97406304    
0.10501    24.74710000     21.60964504    
0.10558    23.34740000     20.44721897    
0.10614    22.03360000     19.33191273    
0.10670    21.21300000     18.36172891    
0.10726    19.81670000     17.47396066    
