# SAXS profile: number of points = 485, q_min = 0.024629, q_max = 0.327438, delta_q = 0.000611735353535354
# offset = 0.00000000000000, scaling c = 1.91409458871015e-06, Chi = 1.70850826475348
#  q       exp_intensity   model_intensity
0.02463    54.32220000     52.20494701    
0.02524    53.02020000     51.88928711    
0.02584    52.43550000     51.56806274    
0.02645    52.05510000     51.24085878    
0.02706    51.76530000     50.90888530    
0.02767    51.99620000     50.57175854    
0.02828    52.21260000     50.22960808    
0.02889    51.98950000     49.88257149    
0.02949    51.54340000     49.53081040    
0.03010    51.10190000     49.17445022    
0.03071    50.74270000     48.81357740    
0.03132    50.59250000     48.44763807    
0.03193    49.77940000     48.07815431    
0.03254    49.19790000     47.70468703    
0.03314    48.52470000     47.32736364    
0.03375    48.94050000     46.94634567    
0.03436    47.78520000     46.56177689    
0.03497    47.65350000     46.17380155    
0.03558    47.09740000     45.78257699    
0.03618    45.82640000     45.38760101    
0.03679    45.76800000     44.99030319    
0.03740    45.11830000     44.59019088    
0.03801    44.47980000     44.18741827    
0.03862    43.46320000     43.78212949    
0.03922    44.11120000     43.37448103    
0.03983    44.12790000     42.96460066    
0.04044    44.10010000     42.55262842    
0.04105    42.85630000     42.13805481    
0.04166    42.13050000     41.72234963    
0.04226    41.92790000     41.30501056    
0.04287    41.47870000     40.88615201    
0.04348    41.78640000     40.46587305    
0.04409    41.08240000     40.04439396    
0.04470    40.89430000     39.62182496    
0.04530    40.08510000     39.19834676    
0.04591    39.62900000     38.77336194    
0.04652    38.47450000     38.34839090    
0.04713    38.19650000     37.92290772    
0.04774    37.69380000     37.49701451    
0.04835    37.11330000     37.07084805    
0.04895    36.87130000     36.64454519    
0.04956    36.35400000     36.21822236    
0.05017    36.19380000     35.79201006    
0.05078    35.73980000     35.36532383    
0.05139    35.13890000     34.93968092    
0.05199    34.93020000     34.51452252    
0.05260    34.14220000     34.08992280    
0.05321    33.96630000     33.66602319    
0.05382    33.32580000     33.24295389    
0.05443    32.79810000     32.82079326    
0.05504    32.52490000     32.39969015    
0.05564    31.79490000     31.97904386    
0.05625    31.61430000     31.56038868    
0.05686    31.15520000     31.14305164    
0.05747    30.84130000     30.72717274    
0.05808    30.55130000     30.31284483    
0.05868    29.95450000     29.90014652    
0.05929    29.26410000     29.48919470    
0.05990    29.35080000     29.08005128    
0.06051    29.02830000     28.67215038    
0.06112    28.40870000     28.26692431    
0.06173    28.33500000     27.86376384    
0.06233    27.92630000     27.46276304    
0.06294    27.12630000     27.06399538    
0.06355    26.91630000     26.66750813    
0.06416    26.22580000     26.27341480    
0.06477    25.75530000     25.88177280    
0.06537    25.56720000     25.49200961    
0.06598    25.00450000     25.10547748    
0.06659    24.73140000     24.72159266    
0.06720    24.19190000     24.34041499    
0.06781    23.86510000     23.96215722    
0.06841    23.52060000     23.58672119    
0.06902    23.00950000     23.21416789    
0.06963    22.88100000     22.84455328    
0.07024    22.36530000     22.47791598    
0.07085    22.37480000     22.11369279    
0.07146    21.91420000     21.75314918    
0.07206    21.25170000     21.39573617    
0.07267    20.63730000     21.04145385    
0.07328    20.63160000     20.69036059    
0.07389    20.21440000     20.34250242    
0.07450    20.00750000     19.99789712    
0.07510    19.54410000     19.65658597    
0.07571    19.35570000     19.31803294    
0.07632    19.33920000     18.98337532    
0.07693    18.77170000     18.65211015    
0.07754    18.30420000     18.32424120    
0.07814    17.81260000     17.99976750    
0.07875    17.47480000     17.67874519    
0.07936    17.12370000     17.36117895    
0.07997    16.82340000     17.04725767    
0.08058    16.64090000     16.73683817    
0.08118    16.57750000     16.42939565    
0.08179    16.52820000     16.12596812    
0.08240    15.93970000     15.82606497    
0.08301    15.51880000     15.52968054    
0.08362    15.25090000     15.23682187    
0.08422    14.90940000     14.94751064    
0.08483    14.67040000     14.66172432    
0.08544    14.29850000     14.37946438    
0.08605    13.71420000     14.10073770    
0.08666    13.69800000     13.82510261    
0.08727    13.21340000     13.55346012    
0.08787    12.98550000     13.28532802    
0.08848    12.79790000     13.02072735    
0.08909    12.57030000     12.75964451    
0.08970    12.25350000     12.50204764    
0.09031    12.09280000     12.24795582    
0.09091    12.08930000     11.99737511    
0.09152    11.65350000     11.75024851    
0.09213    11.36670000     11.50637438    
0.09274    11.18720000     11.26636183    
0.09335    10.86830000     11.02978152    
0.09395    10.65880000     10.79662444    
0.09456    10.46570000     10.56688906    
0.09517    10.32720000     10.34053181    
0.09578    9.96096000      10.11753179    
0.09639    9.80967000      9.89790237     
0.09699    9.60344000      9.68160901     
0.09760    9.37807000      9.46826928     
0.09821    9.17975000      9.25857949     
0.09882    8.97715000      9.05216820     
0.09943    8.73771000      8.84901153     
0.10004    8.46077000      8.64909414     
0.10064    8.13876000      8.45237774     
0.10125    7.92636000      8.25883828     
0.10186    7.91417000      8.06846300     
0.10247    7.66186000      7.88124688     
0.10308    7.54205000      7.69683174     
0.10368    7.35549000      7.51581918     
0.10429    7.30301000      7.33800361     
0.10490    7.08607000      7.16327540     
0.10551    6.80622000      6.99153296     
0.10612    6.72200000      6.82278424     
0.10673    6.42432000      6.65700709     
0.10733    6.25190000      6.49415797     
0.10794    6.03464000      6.33421824     
0.10855    5.89289000      6.17690523     
0.10916    5.77551000      6.02271349     
0.10977    5.73446000      5.87134521     
0.11037    5.50475000      5.72277666     
0.11098    5.37745000      5.57698653     
0.11159    5.27267000      5.43394095     
0.11220    5.14529000      5.29361639     
0.11281    5.13912000      5.15599047     
0.11341    4.97137000      5.02103194     
0.11402    4.89597000      4.88869142     
0.11463    4.58158000      4.75874824     
0.11524    4.50059000      4.63162071     
0.11585    4.32069000      4.50704204     
0.11646    4.30580000      4.38508292     
0.11706    4.31629000      4.26568816     
0.11767    4.08029000      4.14872897     
0.11828    3.98837000      4.03421008     
0.11889    3.94377000      3.92211477     
0.11950    3.72252000      3.81240093     
0.12010    3.63209000      3.70503627     
0.12071    3.53130000      3.59983415     
0.12132    3.43183000      3.49711369     
0.12193    3.26590000      3.39666223     
0.12254    3.22619000      3.29846072     
0.12314    3.15173000      3.20248453     
0.12375    3.11217000      3.10868776     
0.12436    3.08088000      3.01704827     
0.12497    3.09038000      2.92756203     
0.12558    2.94246000      2.84018618     
0.12618    2.75236000      2.75489232     
0.12679    2.67051000      2.67152653     
0.12740    2.57009000      2.59030691     
0.12801    2.45971000      2.51108336     
0.12862    2.44665000      2.43391714     
0.12923    2.38956000      2.35874439     
0.12983    2.33836000      2.28548238     
0.13044    2.19140000      2.21411138     
0.13105    2.02880000      2.14459231     
0.13166    2.07638000      2.07691386     
0.13226    1.93327000      2.01105131     
0.13287    1.85545000      1.94698371     
0.13348    1.75425000      1.88455570     
0.13409    1.83181000      1.82395869     
0.13470    1.80458000      1.76508213     
0.13531    1.73310000      1.70788361     
0.13591    1.62587000      1.65233293     
0.13652    1.65937000      1.59841262     
0.13713    1.52802000      1.54608740     
0.13774    1.62622000      1.49534345     
0.13835    1.51176000      1.44614373     
0.13895    1.44428000      1.39847448     
0.13956    1.41454000      1.35230018     
0.14017    1.27181000      1.30752410     
0.14078    1.16259000      1.26432869     
0.14139    0.98834100      1.22256563     
0.14200    0.99483300      1.18219357     
0.14260    0.98808600      1.14320075     
0.14321    1.15150000      1.10554090     
0.14382    1.07944000      1.06919698     
0.14443    0.94776100      1.03415720     
0.14503    0.96656600      1.00037728     
0.14564    0.86617700      0.96783911     
0.14625    0.82339800      0.93651966     
0.14686    0.82339500      0.90633840     
0.14747    0.83383700      0.87737263     
0.14808    0.82652000      0.84955322     
0.14868    0.82746600      0.82285684     
0.14929    0.82031600      0.79725416     
0.14990    0.66375300      0.77271831     
0.15051    0.69459500      0.74923558     
0.15112    0.73064000      0.72676493     
0.15172    0.66797100      0.70528923     
0.15233    0.62622700      0.68480168     
0.15294    0.54408800      0.66528760     
0.15355    0.47402800      0.64671956     
0.15416    0.49465100      0.62906427     
0.15477    0.48093700      0.61225330     
0.15537    0.46712200      0.59632162     
0.15598    0.52152700      0.58122021     
0.15659    0.46485700      0.56693508     
0.15720    0.60656800      0.55343613     
0.15781    0.52350300      0.54070793     
0.15841    0.51648600      0.52871722     
0.15902    0.41925500      0.51744252     
0.15963    0.51273200      0.50686754     
0.16024    0.56139200      0.49697306     
0.16084    0.53053600      0.48774430     
0.16145    0.56101800      0.47914469     
0.16206    0.45056700      0.47115294     
0.16267    0.55274100      0.46374609     
0.16328    0.53428900      0.45693147     
0.16389    0.55463400      0.45066297     
0.16449    0.48490800      0.44493622     
0.16510    0.36709800      0.43972977     
0.16571    0.38326800      0.43501985     
0.16632    0.36816400      0.43079504     
0.16693    0.35073400      0.42701944     
