# SAXS profile: number of points = 511, q_min = 0.01125, q_max = 0.32133, delta_q = 0.000608
# offset = 0.00000000000000, scaling c = 3.84974692154268e-07, Chi = 0.120577454015218
#  q       exp_intensity   model_intensity
0.01125    117.31700000    123.02708787   
0.01186    119.19100000    121.78542950   
0.01247    122.36200000    120.47959644   
0.01307    120.37100000    119.16745229   
0.01368    116.75500000    117.76480953   
0.01429    112.50700000    116.32804801   
0.01490    110.90200000    114.85363805   
0.01551    108.41600000    113.32427831   
0.01611    107.95500000    111.79868305   
0.01672    109.18500000    110.19916169   
0.01733    106.99900000    108.57093840   
0.01794    106.58800000    106.91836185   
0.01855    104.16500000    105.22383326   
0.01915    101.86500000    103.54273496   
0.01976    100.28100000    101.80358403   
0.02037    98.86330000     100.04414857   
0.02098    97.52600000     98.27155549    
0.02159    95.40300000     96.47280145    
0.02219    93.51260000     94.69626736    
0.02280    91.24780000     92.87609340    
0.02341    89.64080000     91.04630791    
0.02402    88.35800000     89.21156946    
0.02463    85.80090000     87.36903198    
0.02524    84.02260000     85.52564562    
0.02584    80.92200000     83.71119148    
0.02645    79.26800000     81.86921148    
0.02706    78.06830000     80.02909366    
0.02767    75.80680000     78.19719688    
0.02828    74.45300000     76.37194536    
0.02888    72.62250000     74.58431959    
0.02949    70.65790000     72.78245621    
0.03010    68.73210000     70.98835073    
0.03071    67.37470000     69.21438136    
0.03132    65.61080000     67.45528901    
0.03192    63.78640000     65.73829564    
0.03253    61.93600000     64.02086974    
0.03314    59.49660000     62.31664248    
0.03375    59.10590000     60.64244310    
0.03436    57.36060000     58.98961748    
0.03497    55.89400000     57.35163493    
0.03557    54.07660000     55.77993176    
0.03618    53.02800000     54.19736871    
0.03679    51.27800000     52.64640000    
0.03740    50.34990000     51.12621847    
0.03800    48.82090000     49.64685645    
0.03861    47.45230000     48.19167986    
0.03922    46.24840000     46.75461918    
0.03983    43.78100000     45.34967321    
0.04044    43.26130000     43.98185070    
0.04104    41.95660000     42.65398318    
0.04165    41.06100000     41.35271395    
0.04226    39.30610000     40.07391340    
0.04287    38.57400000     38.82535956    
0.04348    37.11520000     37.61841801    
0.04409    35.85700000     36.43054170    
0.04469    34.56850000     35.30643954    
0.04530    33.74790000     34.18936832    
0.04591    32.60210000     33.09892233    
0.04652    31.80800000     32.05267329    
0.04713    30.73730000     31.02493665    
0.04773    29.63540000     30.05349998    
0.04834    28.80110000     29.09372677    
0.04895    27.89450000     28.15607330    
0.04956    27.02030000     27.26312773    
0.05017    26.19860000     26.38737556    
0.05078    25.53910000     25.54579243    
0.05138    24.53220000     24.74652544    
0.05199    23.97160000     23.95072421    
0.05260    23.21560000     23.19842524    
0.05321    22.55170000     22.46146390    
0.05382    21.93570000     21.75233622    
0.05442    21.22210000     21.08283392    
0.05503    20.50270000     20.41628111    
0.05564    19.93260000     19.78660923    
0.05625    19.12570000     19.17208056    
0.05686    18.52530000     18.57935848    
0.05746    17.94860000     18.02339777    
0.05807    17.57310000     17.47023093    
0.05868    17.15060000     16.94554285    
0.05929    16.63080000     16.43568810    
0.05990    15.94640000     15.94220146    
0.06050    15.44420000     15.48087348    
0.06111    15.23020000     15.02171421    
0.06172    14.53090000     14.58511646    
0.06233    14.20560000     14.16246006    
0.06294    13.75610000     13.75163289    
0.06354    13.30920000     13.36880072    
0.06415    12.88340000     12.98751079    
0.06476    12.75440000     12.62315250    
0.06537    12.35530000     12.27144818    
0.06598    12.09090000     11.92795204    
0.06659    11.81250000     11.60320618    
0.06719    11.46150000     11.29001803    
0.06780    11.08760000     10.98391509    
0.06841    10.67370000     10.68905370    
0.06902    10.48250000     10.40018398    
0.06963    10.13460000     10.12629843    
0.07023    9.79138000      9.86232508     
0.07084    9.43936000      9.60282053     
0.07145    9.38992000      9.35317186     
0.07206    9.12907000      9.10825177     
0.07266    8.96774000      8.87838506     
0.07327    8.72531000      8.64980165     
0.07388    8.44875000      8.42765876     
0.07449    8.14879000      8.21452193     
0.07510    8.00490000      8.00517496     
0.07571    7.77745000      7.80390784     
0.07631    7.64032000      7.61076467     
0.07692    7.43607000      7.41899101     
0.07753    7.23921000      7.23495248     
0.07814    7.11955000      7.05401517     
0.07875    6.96680000      6.87956941     
0.07935    6.74742000      6.71257132     
0.07996    6.55577000      6.54612172     
0.08057    6.42507000      6.38677888     
0.08118    6.26120000      6.23007266     
0.08179    6.13616000      6.07847368     
0.08239    5.92344000      5.93380058     
0.08300    5.82778000      5.78914729     
0.08361    5.70971000      5.65117128     
0.08422    5.60381000      5.51551605     
0.08483    5.47319000      5.38397495     
0.08543    5.37392000      5.25896766     
0.08604    5.25578000      5.13402987     
0.08665    5.13167000      5.01469944     
0.08726    5.00143000      4.89784462     
