# x and average y for the best solution found, chi=0.174993
#  q       exp_intensity   weighted_intensity
0.010640 139.012183 134.375278
0.011250 142.589528 132.987068
0.011860 139.455602 131.538582
0.012470 138.362053 130.016502
0.013070 135.460218 128.487640
0.013680 133.995948 126.855006
0.014290 130.276687 125.183691
0.014900 131.052174 123.469695
0.015510 128.516195 121.693877
0.016110 126.242462 119.922852
0.016720 125.821648 118.066179
0.017330 121.884592 116.179288
0.017940 120.643285 114.266757
0.018550 119.015757 112.308689
0.019150 116.153035 110.367357
0.019760 114.292375 108.361713
0.020370 111.731796 106.335080
0.020980 110.070384 104.294831
0.021590 107.049713 102.228615
0.022190 105.389449 100.189487
0.022800 102.960026 98.103393
0.023410 101.337911 96.009578
0.024020 98.690273 93.911865
0.024630 96.586909 91.810268
0.025240 93.638983 89.709868
0.025840 91.833812 87.645718
0.026450 89.229859 85.554528
0.027060 88.005401 83.467400
0.027670 84.614383 81.393512
0.028280 83.318594 79.330888
0.028880 80.928868 77.315133
0.029490 78.718952 75.288635
0.030100 76.215250 73.273293
0.030710 74.728828 71.286313
0.031320 72.152700 69.319713
0.031920 70.239181 67.403520
0.032530 68.607121 65.493180
0.033140 65.431476 63.599443
0.033750 64.427086 61.742294
0.034360 61.742137 59.915380
0.034970 60.274099 58.109462
0.035570 57.978553 56.382798
0.036180 56.973946 54.647247
0.036790 54.501672 52.952868
0.037400 53.219767 51.297405
0.038000 51.445992 49.689178
0.038610 49.870443 48.115378
0.039220 48.084080 46.564129
0.039830 46.579357 45.052855
0.040440 44.980633 43.587447
0.041040 43.703320 42.167694
0.041650 42.669279 40.784086
0.042260 40.652231 39.427513
0.042870 40.019267 38.107335
0.043480 38.259609 36.838241
0.044090 37.130143 35.592359
0.044690 35.881669 34.420187
0.045300 34.971933 33.259269
0.045910 33.422827 32.130170
0.046520 32.607788 31.053519
0.047130 31.596050 29.998747
0.047730 30.166385 29.007760
0.048340 29.499482 28.032515
0.048950 28.521024 27.082886
0.049560 27.537668 26.185748
0.050170 26.703025 25.308506
0.050780 25.964529 24.470629
0.051380 24.602886 23.679084
0.051990 24.327498 22.893532
0.052600 23.138882 22.157260
0.053210 22.573470 21.438059
0.053820 21.692627 20.749809
0.054420 21.043133 20.104308
0.055030 20.311552 19.463858
0.055640 19.748500 18.864000
0.056250 19.142431 18.280629
0.056860 18.568468 17.721000
0.057460 18.089546 17.198648
0.058070 17.382335 16.680371
0.058680 17.059383 16.193600
0.059290 16.445919 15.722391
0.059900 16.083943 15.268357
0.060500 15.416707 14.846668
0.061110 15.364456 14.428074
0.061720 14.488074 14.032479
0.062330 14.215762 13.650710
0.062940 13.809815 13.280673
0.063540 13.421995 12.937950
0.064150 12.983358 12.597264
0.064760 12.765960 12.272985
0.065370 12.205894 11.960736
0.065980 12.224410 11.656292
0.066590 11.805598 11.369078
0.067190 11.403852 11.092347
0.067800 11.208542 10.822414
0.068410 10.815863 10.562522
0.069020 10.511415 10.307965
0.069630 10.175950 10.066274
0.070230 10.002212 9.833262
0.070840 9.734391 9.604082
0.071450 9.593278 9.383125
0.072060 9.321131 9.166092
0.072660 9.145385 8.961628
0.073270 8.877375 8.757753
0.073880 8.770387 8.558912
0.074490 8.454369 8.367017
0.075100 8.328995 8.178096
0.075710 8.164438 7.995664
0.076310 7.972303 7.819785
0.076920 7.840064 7.644365
0.077530 7.530674 7.474878
0.078140 7.483262 7.307720
0.078750 7.197979 7.145370
0.079350 7.063108 6.989066
0.079960 6.819560 6.832616
0.080570 6.646551 6.681262
0.081180 6.562815 6.531892
0.081790 6.381693 6.386408
0.082390 6.360817 6.246616
0.083000 6.154977 6.106305
0.083610 6.116994 5.970887
0.084220 5.940764 5.837291
0.084830 5.790976 5.706926
0.085430 5.661939 5.582092
0.086040 5.525230 5.456844
0.086650 5.418211 5.335909
0.087260 5.416645 5.217020
0.087870 5.214663 5.100884
0.088470 5.096330 4.990213
0.089080 4.994727 4.879284
0.089690 4.829283 4.772233
0.090300 4.760778 4.667454
0.090910 4.635338 4.565023
0.091510 4.526056 4.467987
0.092120 4.317734 4.370845
0.092730 4.292326 4.277153
0.093340 4.185382 4.185907
0.093950 4.065948 4.096604
0.094560 3.943776 4.011085
0.095160 3.917231 3.928405
0.095770 3.798246 3.847434
0.096380 3.775246 3.768950
0.096990 3.684314 3.691973
0.097600 3.763116 3.618715
0.098200 3.608295 3.547970
0.098810 3.622140 3.478589
0.099420 3.446590 3.411655
0.100030 3.415243 3.345990
0.100640 3.348310 3.283487
0.101240 3.219419 3.223314
0.101850 3.177897 3.164127
0.102460 3.079539 3.107175
0.103070 3.011955 3.051289
0.103680 2.959123 2.998003
0.104290 2.868582 2.945994
0.104890 2.828907 2.896224
0.105500 2.913052 2.847572
0.106110 2.776306 2.799776
0.106720 2.798428 2.753922
0.107330 2.699232 2.709161
0.107930 2.677849 2.666045
0.108540 2.672067 2.623951
0.109150 2.586786 2.582492
0.109760 2.622468 2.542285
0.110370 2.468866 2.503056
0.110970 2.552109 2.465094
0.111580 2.383121 2.427804
0.112190 2.357172 2.390946
0.112800 2.320534 2.354893
0.113410 2.237194 2.319613
0.114010 2.184580 2.285296
0.114620 2.154966 2.251277
0.115230 2.076459 2.217592
0.115840 1.977960 2.184458
0.116450 2.032750 2.151827
0.117050 2.044595 2.119960
0.117660 1.954046 2.088167
0.118270 1.961985 2.056599
0.118880 1.974873 2.025313
0.119490 1.945285 1.994451
0.120090 1.960077 1.964262
0.120700 1.891853 1.933946
0.121310 1.846818 1.903799
0.121920 1.834380 1.873815
0.122530 1.767632 1.844184
0.123130 1.733514 1.815151
0.123740 1.719403 1.785861
0.124350 1.678259 1.756785
0.124960 1.684029 1.727868
0.125570 1.687543 1.699232
0.126180 1.643212 1.670724
0.126780 1.658331 1.642938
0.127390 1.520671 1.614886
0.128000 1.470177 1.586946
0.128610 1.573282 1.559424
0.129210 1.503924 1.532477
0.129820 1.418855 1.505310
0.130430 1.484824 1.478465
0.131040 1.362272 1.451782
0.131650 1.373370 1.425489
0.132260 1.311193 1.399419
0.132860 1.319564 1.374074
0.133470 1.333317 1.348677
0.134080 1.319601 1.323467
0.134690 1.277202 1.298762
0.135290 1.262033 1.274721
0.135900 1.216553 1.250560
0.136510 1.183642 1.226929
0.137120 1.191025 1.203518
0.137730 1.144886 1.180588
0.138340 1.126630 1.158024
0.138940 1.046071 1.136116
0.139550 1.068552 1.114469
0.140160 1.088576 1.093063
0.140770 0.987991 1.072141
0.141380 1.043752 1.051665
0.141980 0.971412 1.031790
0.142590 1.028061 1.012235
0.143200 1.015786 0.992938
0.143810 0.925304 0.974123
0.144420 0.982615 0.955775
