# x and average y for the best solution found, chi=0.046679
#  q       exp_intensity   weighted_intensity
0.040430 682.147000 623.343649
0.041040 660.714000 609.098309
0.041650 644.192000 595.156927
0.042260 628.282000 581.349823
0.042870 616.131000 567.723481
0.043470 603.612000 554.585769
0.044080 580.962000 541.350665
0.044690 570.600000 528.426800
0.045300 551.085000 515.684269
0.045910 538.581000 503.129122
0.046510 524.723000 491.104590
0.047120 507.788000 479.011997
0.047730 492.263000 467.221881
0.048340 475.055000 455.650701
0.048950 463.334000 444.253383
0.049550 455.328000 433.400171
0.050160 442.808000 422.503849
0.050770 435.515000 411.902154
0.051380 425.619000 401.549285
0.051990 414.387000 391.347025
0.052590 402.204000 381.698517
0.053200 391.387000 372.025989
0.053810 379.695000 362.620227
0.054420 369.694000 353.485485
0.055030 361.170000 344.492452
0.055630 351.396000 336.010151
0.056240 340.745000 327.537214
0.056850 329.141000 319.296666
0.057460 320.843000 311.338982
0.058070 310.111000 303.515706
0.058670 305.556000 296.140646
0.059280 295.731000 288.809562
0.059890 294.608000 281.675178
0.060500 286.271000 274.822028
0.061110 279.275000 268.091684
0.061710 270.725000 261.744102
0.062320 264.360000 255.462209
0.062930 257.602000 249.335724
0.063540 251.252000 243.487657
0.064150 244.452000 237.750266
0.064750 238.988000 232.331906
0.065360 232.948000 226.994596
0.065970 229.474000 221.776285
0.066580 222.692000 216.821959
0.067190 216.172000 211.963782
0.067790 211.379000 207.364615
0.068400 206.631000 202.854104
0.069010 204.013000 198.434295
0.069620 201.030000 194.249307
0.070230 197.067000 190.150771
0.070830 192.635000 186.259920
0.071440 188.341000 182.459196
0.072050 184.138000 178.734407
0.072660 180.631000 175.189448
0.073270 176.053000 171.727825
0.073870 172.463000 168.426174
0.074480 167.845000 165.208304
0.075090 164.581000 162.052329
0.075700 160.839000 159.036761
0.076310 158.504000 156.099336
0.076910 156.054000 153.284448
0.077520 152.981000 150.544045
0.078130 151.723000 147.852851
0.078740 148.632000 145.265772
0.079350 145.951000 142.748999
0.079950 144.291000 140.324859
0.080560 140.937000 137.966255
0.081170 138.066000 135.645445
0.081780 135.423000 133.397974
0.082390 134.708000 131.211751
0.082990 133.871000 129.095351
0.083600 131.386000 127.030276
0.084210 128.757000 124.994463
0.084820 124.243000 123.011637
0.085430 123.043000 121.080976
0.086030 121.180000 119.206776
0.086640 120.457000 117.365733
0.087250 117.888000 115.550086
0.087860 115.969000 113.771009
0.088470 114.446000 112.037260
0.089070 113.831000 110.350993
0.089680 112.102000 108.681109
0.090290 111.002000 107.033976
0.090900 108.927000 105.411947
0.091510 105.796000 103.826791
0.092110 103.747000 102.282669
0.092720 101.560000 100.748755
0.093330 100.767000 99.233512
0.093940 99.407600 97.734112
0.094550 97.989500 96.266599
0.095150 97.547000 94.834717
0.095760 95.773000 93.403829
0.096370 93.821400 91.992904
0.096980 92.559000 90.594929
0.097590 90.535900 89.224023
0.098190 89.093700 87.885358
0.098800 87.795900 86.543832
0.099410 86.002300 85.220474
0.100020 85.037400 83.906848
0.100630 83.887500 82.618812
0.101230 83.371300 81.361669
0.101840 81.238100 80.099566
0.102450 79.965900 78.856042
0.103060 78.390400 77.621735
0.103670 77.141900 76.411372
0.104270 75.422000 75.231306
0.104880 73.469400 74.044564
0.105490 73.093000 72.877285
0.106100 71.251700 71.718875
0.106710 71.226800 70.581389
0.107310 69.785400 69.475081
0.107920 69.065600 68.362250
0.108530 66.548000 67.270980
0.109140 66.594000 66.189103
0.109750 65.457600 65.127837
0.110350 63.777000 64.098110
0.110960 63.110700 63.061490
0.111570 62.826400 62.047042
0.112180 61.351000 61.041620
0.112790 61.016900 60.054038
0.113390 59.852000 59.098990
0.114000 59.112200 58.136972
0.114610 58.232500 57.200277
0.115220 57.059100 56.272764
0.115830 56.203400 55.361527
0.116430 54.783400 54.484076
0.117040 53.994000 53.601135
0.117650 53.484100 52.740399
0.118260 53.201400 51.890426
0.118870 51.942300 51.054940
0.119470 50.848500 50.252291
0.120080 49.700800 49.444915
0.120690 48.824400 48.659195
0.121300 47.917000 47.885355
0.121910 46.499400 47.123792
0.122510 45.841000 46.395664
0.123120 45.553000 45.663545
0.123730 44.483300 44.949331
0.124340 43.779900 44.248515
0.124950 43.379100 43.558339
0.125550 43.246400 42.898914
0.126160 41.996800 42.235980
0.126770 41.680400 41.589037
0.127380 40.443400 40.955274
0.127990 39.749300 40.329489
0.128590 38.884100 39.734828
0.129200 38.521000 39.136778
0.129810 38.265400 38.551361
0.130420 37.377700 37.979006
0.131030 37.144000 37.413460
0.131630 36.463900 36.874295
0.132240 36.679400 36.333074
0.132850 35.776500 35.802536
0.133460 35.224700 35.285207
0.134070 34.798800 34.773917
0.134670 34.264600 34.284143
0.135280 33.936800 33.793145
0.135890 33.246400 33.310326
0.136500 33.225100 32.839242
0.137110 32.722600 32.373319
0.137710 32.240600 31.926564
0.138320 31.860600 31.478700
0.138930 31.282800 31.036581
0.139540 31.163800 30.605760
0.140150 30.235400 30.179016
0.140750 29.751300 29.767145
0.141360 29.329300 29.354669
0.141970 29.128600 28.946539
0.142580 28.108500 28.547917
0.143190 28.012700 28.152670
0.143790 27.806100 27.770173
0.144400 27.702500 27.387514
0.145010 26.942000 27.008243
0.145620 26.832800 26.636481
0.146230 26.149500 26.267593
0.146830 25.968200 25.909423
0.147440 25.362100 25.550497
0.148050 25.154800 25.194134
0.148660 24.743100 24.843923
0.149270 23.955700 24.497059
0.149870 23.316600 24.160027
0.150480 23.154600 23.821229
0.151090 22.932400 23.484342
0.151700 23.119500 23.152467
0.152310 22.432700 22.823310
0.152910 22.180800 22.502134
0.153520 22.010600 22.180461
0.154130 21.601400 21.860613
0.154740 21.301500 21.544398
0.155350 20.512900 21.230977
0.155950 20.405700 20.924736
0.156560 20.119200 20.617916
0.157170 19.962700 20.312768
0.157780 19.919900 20.010902
0.158390 19.655800 19.712331
0.158990 19.164200 19.420483
0.159600 18.686700 19.127923
0.160210 18.293500 18.837235
0.160820 17.716200 18.549980
0.161430 17.558000 18.265631
0.162030 17.435600 17.987387
0.162640 17.070900 17.709291
0.163250 17.190800 17.433053
0.163860 16.647400 17.159491
0.164470 16.313000 16.889640
0.165070 15.723300 16.625880
0.165680 15.573600 16.362193
0.166290 15.561300 16.100862
0.166900 15.260300 15.842133
0.167510 14.974600 15.587961
0.168110 14.938000 15.339763
0.168720 14.471900 15.091627
0.169330 14.084000 14.846366
0.169940 13.690300 14.603545
