# SAXS profile: number of points = 498, q_min = 0.025234, q_max = 0.32741, delta_q = 0.000608
# offset = 0.00000000000000, scaling c = 5.78375254032406e-06, Chi = 1.76369476318359
#  q       exp_intensity   model_intensity
0.02523    611.20700000    607.62841109   
0.02584    594.07700000    597.95887963   
0.02645    588.48100000    588.23610097   
0.02706    578.35500000    578.49013749   
0.02767    565.42700000    568.70160455   
0.02827    559.31500000    558.90335492   
0.02888    552.68200000    549.09326084   
0.02949    540.50000000    539.28481468   
0.03010    529.86100000    529.48091306   
0.03071    516.88900000    519.69859642   
0.03131    504.11600000    509.94097884   
0.03192    495.65700000    500.20648714   
0.03253    487.79700000    490.50715033   
0.03314    479.03100000    480.86336189   
0.03375    469.53000000    471.28881406   
0.03435    459.58000000    461.77803763   
0.03496    448.48400000    452.31301808   
0.03557    438.90500000    442.96724404   
0.03618    430.78200000    433.67175493   
0.03679    424.15800000    424.47853634   
0.03739    413.91600000    415.38897126   
0.03800    404.87200000    406.35628009   
0.03861    397.67500000    397.49775565   
0.03922    388.90300000    388.70637218   
0.03983    377.35600000    380.03510329   
0.04043    366.61800000    371.50643468   
0.04104    359.22700000    363.04943258   
0.04165    351.06200000    354.78776762   
0.04226    343.59400000    346.61906927   
0.04287    337.47400000    338.57648841   
0.04347    329.54400000    330.71079892   
0.04408    322.07400000    322.92664554   
0.04469    315.19200000    315.34473808   
0.04530    307.42300000    307.87974021   
0.04591    300.91800000    300.53635972   
0.04651    291.91100000    293.39849623   
0.04712    285.38600000    286.34751252   
0.04773    276.52600000    279.49290055   
0.04834    272.60100000    272.77601984   
0.04895    262.96700000    266.16916113   
0.04955    258.09300000    259.78822104   
0.05016    251.43300000    253.49535873   
0.05077    245.25500000    247.38435654   
0.05138    239.66500000    241.42630366   
0.05199    235.81000000    235.56131518   
0.05259    230.04900000    229.93492566   
0.05320    225.80200000    224.39411088   
0.05381    219.66300000    219.01399010   
0.05442    213.74000000    213.79667288   
0.05503    207.29000000    208.66327188   
0.05563    202.95400000    203.75180576   
0.05624    196.98400000    198.93063940   
0.05685    192.06500000    194.23544526   
0.05746    188.75100000    189.71705593   
0.05807    185.14500000    185.27626099   
0.05867    180.89600000    181.02631255   
0.05928    177.31000000    176.87238075   
0.05989    174.73000000    172.82944692   
0.06050    168.15300000    168.95018366   
0.06111    165.14700000    165.14054778   
0.06171    160.83300000    161.48944562   
0.06232    156.95500000    157.93588305   
0.06293    154.97300000    154.46895500   
0.06354    151.32800000    151.15744545   
0.06415    149.11100000    147.90649021   
0.06475    145.74100000    144.78316266   
0.06536    143.24700000    141.75471182   
0.06597    138.45500000    138.79073519   
0.06658    136.76500000    135.97031968   
0.06719    134.23600000    133.20103245   
0.06779    133.15300000    130.53084033   
0.06840    130.33300000    127.94970257   
0.06901    128.18200000    125.41627829   
0.06962    125.04000000    123.00715845   
0.07023    119.13100000    120.64210101   
0.07083    118.31200000    118.35152073   
0.07144    116.09500000    116.14153575   
0.07205    114.51800000    113.97034214   
0.07266    111.90100000    111.88801532   
0.07327    109.83100000    109.85410700   
0.07387    108.29400000    107.87427917   
0.07448    105.81000000    105.96527207   
0.07509    104.36700000    104.08702462   
0.07570    102.62600000    102.27926173   
0.07631    100.71500000    100.51009002   
0.07691    98.37880000     98.77900501    
0.07752    96.84060000     97.10841536    
0.07813    94.87420000     95.46170365    
0.07874    93.44790000     93.86614261    
0.07935    91.95760000     92.30470953    
0.07995    90.45620000     90.76911901    
0.08056    89.39830000     89.28447753    
0.08117    87.66640000     87.81812051    
0.08178    86.59780000     86.38812845    
0.08239    84.83320000     84.98764350    
0.08299    83.79720000     83.60412896    
0.08360    82.64210000     82.26293820    
0.08421    81.55970000     80.93575353    
0.08482    80.26760000     79.63431425    
0.08543    79.10580000     78.35827088    
0.08603    77.61310000     77.09057555    
0.08664    75.94680000     75.85891363    
0.08725    74.68440000     74.63997736    
0.08786    73.69810000     73.43926421    
0.08847    72.41100000     72.26069764    
0.08907    71.65600000     71.09216698    
0.08968    70.38720000     69.94735878    
0.09029    68.74710000     68.81461266    
0.09090    68.13640000     67.69509324    
0.09151    66.59520000     66.59545214    
0.09211    65.65260000     65.50411452    
0.09272    64.73340000     64.43139458    
0.09333    63.47710000     63.37041124    
0.09394    62.49680000     62.31931512    
0.09455    62.24110000     61.28712879    
0.09515    61.00880000     60.26226242    
0.09576    59.96490000     59.25264543    
0.09637    58.85440000     58.25517735    
0.09698    57.83520000     57.26552398    
0.09759    56.89120000     56.29152631    
0.09819    55.83650000     55.32768537    
0.09880    55.10620000     54.37705492    
0.09941    54.03650000     53.43925444    
0.10002    52.84630000     52.50821584    
0.10063    51.98890000     51.59572762    
