# x and average y for the best solution found, chi=0.062340
#  q       exp_intensity   weighted_intensity
0.010030 9.594220 9.352148
0.011250 9.624300 9.167620
0.011860 9.383610 9.069935
0.012470 9.350560 8.967352
0.013070 9.213560 8.864340
0.013680 9.085870 8.754418
0.014290 8.922870 8.641941
0.014900 8.868320 8.526644
0.015510 8.791260 8.407279
0.016110 8.678390 8.288306
0.016720 8.624480 8.163812
0.017330 8.444160 8.037260
0.017940 8.349230 7.908963
0.018550 8.137760 7.777724
0.019150 8.039000 7.647650
0.019760 7.890640 7.513362
0.020370 7.743600 7.377934
0.020980 7.691010 7.241768
0.021590 7.473330 7.103678
0.022190 7.335740 6.967430
0.022800 7.185370 6.828126
0.023410 7.046760 6.688383
0.024020 6.881810 6.548421
0.024630 6.736300 6.408301
0.025240 6.600240 6.268298
0.025840 6.451280 6.130768
0.026450 6.296220 5.991496
0.027060 6.156880 5.852533
0.027670 6.021680 5.714614
0.028280 5.867260 5.577412
0.028880 5.726440 5.443288
0.029490 5.586290 5.308471
0.030100 5.453320 5.174402
0.030710 5.320060 5.042223
0.031320 5.156910 4.911343
0.031920 5.049800 4.783766
0.032530 4.903380 4.656621
0.033140 4.801150 4.530571
0.033750 4.676010 4.406901
0.034360 4.566820 4.285186
0.034970 4.434100 4.164829
0.035570 4.305360 4.049901
0.036180 4.120400 3.934258
0.036790 4.058570 3.821042
0.037400 3.960230 3.710303
0.038000 3.846810 3.602660
0.038610 3.738370 3.497104
0.039220 3.625620 3.392972
0.039830 3.516350 3.291364
0.040440 3.402080 3.192642
0.041040 3.319800 3.096899
0.041650 3.207720 3.003310
0.042260 3.118070 2.911434
0.042870 3.024980 2.821864
0.043480 2.929310 2.735437
0.044090 2.835930 2.650445
0.044690 2.752440 2.570164
0.045300 2.652820 2.490527
0.045910 2.567600 2.412938
0.046520 2.493350 2.338483
0.047130 2.415740 2.265364
0.047730 2.336260 2.196330
0.048340 2.264050 2.128167
0.048950 2.191430 2.061612
0.049560 2.119870 1.998281
0.050170 2.068320 1.936184
0.050780 1.995580 1.876537
0.051380 1.936920 1.819901
0.051990 1.876120 1.763517
0.052600 1.817010 1.710216
0.053210 1.755680 1.658030
0.053820 1.704240 1.607870
0.054420 1.647800 1.560414
0.055030 1.597250 1.513121
0.055640 1.550290 1.468428
0.056250 1.500110 1.424791
0.056860 1.457400 1.382674
0.057460 1.412870 1.343079
0.058070 1.368500 1.303655
0.058680 1.331970 1.266262
0.059290 1.293330 1.229896
0.059900 1.254670 1.194662
0.060500 1.220750 1.161723
0.061110 1.180270 1.128914
0.061720 1.147840 1.097607
0.062330 1.110620 1.067263
0.062940 1.080170 1.037735
0.063540 1.045580 1.010162
0.064150 1.022570 0.982677
0.064760 0.994540 0.956363
0.065370 0.966805 0.930927
0.065980 0.939442 0.906060
0.066590 0.912359 0.882495
0.067190 0.886987 0.859765
0.067800 0.864150 0.837544
0.068410 0.840440 0.816076
0.069020 0.818972 0.795011
0.069630 0.799297 0.774996
0.070230 0.778602 0.755686
