# x and average y for the best solution found, chi=0.035605
#  q       exp_intensity   weighted_intensity
0.014290 148.878000 193.117177
0.014900 197.865000 191.583755
0.015510 193.434000 189.981620
0.016120 196.650000 188.350721
0.016720 193.655000 186.685147
0.017330 190.512000 184.952135
0.017940 188.774000 183.185457
0.018550 187.272000 181.356893
0.019160 186.184000 179.506411
0.019760 183.712000 177.644305
0.020370 181.567000 175.711617
0.020980 180.255000 173.753277
0.021590 178.193000 171.742471
0.022200 177.185000 169.713795
0.022800 174.748000 167.685931
0.023410 172.183000 165.594570
0.024020 170.225000 163.487442
0.024630 169.708000 161.342587
0.025240 166.601000 159.184317
0.025840 163.592000 157.041087
0.026450 161.927000 154.840774
0.027060 160.360000 152.630492
0.027670 156.769000 150.398456
0.028280 155.421000 148.157682
0.028890 152.576000 145.906608
0.029490 149.424000 143.680930
0.030100 147.130000 141.413974
0.030710 143.082000 139.139078
0.031320 142.017000 136.861591
0.031930 139.732000 134.581757
0.032540 137.717000 132.301678
0.033140 134.767000 130.059841
0.033750 133.266000 127.783630
0.034360 129.578000 125.515047
0.034970 128.384000 123.251760
0.035580 125.494000 120.995581
0.036180 123.161000 118.781539
0.036790 119.831000 116.541954
0.037400 118.498000 114.315364
0.038010 116.655000 112.095981
0.038620 113.448000 109.899654
0.039220 111.368000 107.748913
0.039830 109.478000 105.579150
0.040440 106.904000 103.430927
0.041050 105.365000 101.293701
0.041660 102.271000 99.186427
0.042260 100.305000 97.128761
0.042870 98.453400 95.056825
0.043480 96.427400 93.014604
0.044090 94.138600 90.986868
0.044700 92.042000 88.996326
0.045300 89.674200 87.057257
0.045910 87.222300 85.105027
0.046520 85.530700 83.190209
0.047130 83.815200 81.291542
0.047740 82.022800 79.428599
0.048350 80.201300 77.592540
0.048950 78.809300 75.806225
0.049560 76.510500 74.034121
0.050170 74.680600 72.279592
0.050780 73.284100 70.560394
0.051390 71.127600 68.872902
0.051990 69.848000 67.230667
0.052600 67.910200 65.613249
0.053210 66.595700 64.013152
0.053820 64.697300 62.444394
0.054430 63.511000 60.911492
0.055040 61.171500 59.396934
0.055640 59.964200 57.953946
0.056250 58.041000 56.507752
0.056860 57.080500 55.091571
0.057470 55.472200 53.714247
0.058080 53.852400 52.355068
0.058680 52.616100 51.060998
0.059290 51.170400 49.769904
0.059900 50.239900 48.505895
0.060510 48.721800 47.280980
0.061120 47.763500 46.073198
0.061730 46.450000 44.904077
0.062330 45.654700 43.779695
0.062940 44.148600 42.657847
0.063550 43.211400 41.577647
0.064160 41.773100 40.513876
0.064770 40.927800 39.483538
0.065370 39.607600 38.497857
0.065980 38.791600 37.513295
0.066590 37.430800 36.568582
0.067200 37.071600 35.638898
0.067810 35.762200 34.737255
0.068410 35.179200 33.877603
0.069020 33.937700 33.017724
0.069630 33.303200 32.195667
0.070240 32.240200 31.388480
0.070850 31.500500 30.604220
0.071460 30.567100 29.848428
0.072060 29.877800 29.117480
0.072670 29.201600 28.404759
0.073280 28.174000 27.707506
0.073890 27.776500 27.028481
0.074500 26.893600 26.375987
0.075100 26.538300 25.745012
0.075710 25.814800 25.129352
0.076320 25.136400 24.529833
0.076930 24.430000 23.944942
0.077540 23.695800 23.384139
0.078140 23.189300 22.841809
0.078750 22.869200 22.311185
0.079360 22.183300 21.795576
0.079970 21.595700 21.290394
0.080580 21.156700 20.808946
0.081180 20.577700 20.343734
0.081790 19.981500 19.887698
0.082400 19.474300 19.445631
0.083010 19.181100 19.011243
0.083620 18.765100 18.597580
0.084220 18.520200 18.197912
0.084830 18.057500 17.804250
0.085440 17.644300 17.424257
0.086050 17.200300 17.051074
0.086660 16.776000 16.695014
0.087270 16.624100 16.346148
0.087870 15.975800 16.011912
0.088480 15.887000 15.684770
0.089090 15.391100 15.363306
0.089700 15.212200 15.054833
0.090310 15.057700 14.753977
0.090910 14.515600 14.465304
0.091520 14.058800 14.182884
0.092130 13.950000 13.905133
0.092740 13.576500 13.637546
0.093350 13.299300 13.376923
0.093950 12.984200 13.125661
0.094560 12.541600 12.881278
0.095170 12.479100 12.640774
0.095780 12.172700 12.407752
0.096390 12.059900 12.181332
0.096990 11.696600 11.962287
0.097600 11.458200 11.749205
0.098210 11.287700 11.539472
0.098820 11.277800 11.335811
0.099430 11.045900 11.138611
0.100040 10.785000 10.944631
0.100640 10.390500 10.761052
0.101250 10.199100 10.577648
0.101860 10.115700 10.398901
0.102470 9.799340 10.226194
0.103080 9.767360 10.056163
0.103680 9.676570 9.894640
0.104290 9.556540 9.733646
0.104900 9.562700 9.576207
0.105510 9.251190 9.424047
0.106120 9.126020 9.274196
0.106730 9.049810 9.129546
0.107330 8.766240 8.990186
0.107940 8.599810 8.850931
0.108550 8.734220 8.716622
0.109160 8.426440 8.584221
0.109770 8.120590 8.455672
0.110370 8.155220 8.332439
0.110980 8.064900 8.209178
0.111590 7.846640 8.090144
0.112200 7.755070 7.972725
0.112810 7.734890 7.858325
0.113410 7.555170 7.748879
0.114020 7.626240 7.639183
0.114630 7.517980 7.533106
0.115240 7.442690 7.428544
0.115850 7.276290 7.326316
0.116460 7.330550 7.226868
0.117060 7.132090 7.130303
0.117670 7.069290 7.035449
0.118280 6.916610 6.941994
0.118890 6.851590 6.850188
0.119500 6.674900 6.760929
0.120100 6.641700 6.674218
0.120710 6.609490 6.588781
0.121320 6.564020 6.504664
0.121930 6.388110 6.421745
0.122540 6.366160 6.341185
0.123140 6.189840 6.262874
0.123750 6.092690 6.185353
0.124360 6.230560 6.109090
0.124970 6.000940 6.033701
0.125580 6.022480 5.960478
0.126180 5.909270 5.889250
0.126790 5.738750 5.818457
0.127400 5.815190 5.748819
0.128010 5.625360 5.679819
0.128620 5.690980 5.612691
0.129230 5.579000 5.546310
0.129830 5.539260 5.482230
0.130440 5.520980 5.418126
0.131050 5.405460 5.354555
0.131660 5.264300 5.292430
0.132260 5.169070 5.232051
0.132870 5.165710 5.171632
0.133480 5.074770 5.112147
0.134090 5.075950 5.053111
0.134700 4.983820 4.995203
0.135310 4.956450 4.938025
0.135910 4.840630 4.882480
0.136520 4.851810 4.826846
0.137130 4.813330 4.771572
0.137740 4.787590 4.717090
0.138350 4.700550 4.663385
0.138950 4.564780 4.611129
0.139560 4.532900 4.558751
0.140170 4.418390 4.506708
0.140780 4.466240 4.455358
0.141390 4.423560 4.404697
0.142000 4.323700 4.354426
0.142600 4.294440 4.305660
0.143210 4.192140 4.256366
0.143820 4.187350 4.207613
0.144430 4.175010 4.159554
0.145030 4.112810 4.112599
0.145640 4.015820 4.065441
0.146250 3.990750 4.018656
0.146860 3.951880 3.972405
0.147470 3.908750 3.926587
0.148080 3.879660 3.880989
0.148680 3.800570 3.836736
0.149290 3.734160 3.792150
0.149900 3.736860 3.748012
0.150510 3.667130 3.704308
0.151120 3.671300 3.660824
0.151720 3.569570 3.618596
0.152330 3.551300 3.576084
0.152940 3.508050 3.533929
0.153550 3.434250 3.492219
0.154160 3.508710 3.450764
0.154760 3.433810 3.410555
0.155370 3.419450 3.369965
0.155980 3.332590 3.329561
0.156590 3.284670 3.289778
0.157200 3.254670 3.250255
0.157810 3.187930 3.211218
0.158410 3.133400 3.173147
0.159020 3.026210 3.134619
0.159630 3.055260 3.096799
0.160240 2.987460 3.059170
0.160840 2.935700 3.022445
0.161450 2.943530 2.985535
0.162060 2.885740 2.948847
0.162670 2.809580 2.912800
0.163280 2.863720 2.876968
0.163890 2.731450 2.841390
0.164490 2.836760 2.806949
0.165100 2.699510 2.772136
0.165710 2.767620 2.737710
0.166320 2.751390 2.703632
0.166930 2.721280 2.669869
0.167530 2.665250 2.637038
0.168140 2.586260 2.603844
0.168750 2.491970 2.571096
0.169360 2.520470 2.538726
0.169970 2.365560 2.506618
0.170570 2.412800 2.475435
0.171180 2.327470 2.443942
0.171790 2.338310 2.412902
0.172400 2.306860 2.382135
0.173010 2.264780 2.351521
0.173610 2.260990 2.322015
0.174220 2.165500 2.292164
0.174830 2.112490 2.262574
0.175440 2.201340 2.233330
0.176050 2.146480 2.204270
0.176660 2.231700 2.175771
0.177260 2.160780 2.147882
0.177870 2.136800 2.119716
0.178480 1.995670 2.092052
0.179090 2.065030 2.064579
0.179690 2.044930 2.037871
0.180300 2.025660 2.011005
0.180910 1.930810 1.984437
0.181520 1.987740 1.958154
0.182130 1.868640 1.932041
0.182740 1.902700 1.906374
0.183340 1.719540 1.881332
0.183950 1.787830 1.856031
0.184560 1.738980 1.831227
0.185170 1.758460 1.806569
0.185780 1.674880 1.782170
0.186380 1.658390 1.758506
0.186990 1.740410 1.734644
0.187600 1.664180 1.711133
0.188210 1.598380 1.687813
0.188820 1.696300 1.664849
0.189420 1.559000 1.642494
0.190030 1.649110 1.619896
0.190640 1.529730 1.597835
0.191250 1.529690 1.575911
0.191860 1.505080 1.554185
0.192460 1.436190 1.533178
0.193070 1.428250 1.511989
0.193680 1.439590 1.491229
0.194290 1.386950 1.470662
0.194900 1.381150 1.450307
0.195510 1.379160 1.430375
0.196110 1.361900 1.410923
0.196720 1.379000 1.391478
0.197330 1.363200 1.372304
0.197940 1.395900 1.353360
0.198540 1.368580 1.335103
0.199150 1.343700 1.316706
0.199760 1.267760 1.298683
0.200370 1.373670 1.280946
0.200980 1.227030 1.263397
0.201580 1.270530 1.246526
0.202190 1.251080 1.229552
0.202800 1.200880 1.212943
0.203410 1.190500 1.196609
0.204020 1.199460 1.180426
0.204630 1.178370 1.164752
0.205230 1.198200 1.149490
0.205840 1.132640 1.134226
0.206450 1.142480 1.119354
0.207060 1.135110 1.104662
0.207670 1.089640 1.090342
0.208270 1.111070 1.076498
0.208880 1.021030 1.062721
0.209490 1.029710 1.049241
0.210100 1.038680 1.035923
0.210710 1.064450 1.023060
0.211310 1.076620 1.010619
0.211920 0.997058 0.998172
0.212530 1.008320 0.986151
0.213140 0.980763 0.974290
0.213750 0.948016 0.962751
0.214350 0.999860 0.951687
0.214960 0.928935 0.940644
0.215570 0.975988 0.929961
0.216180 0.883349 0.919441
0.216790 0.899667 0.909255
0.217390 0.918300 0.899508
0.218000 0.874404 0.889748
0.218610 0.898901 0.880358
0.219220 0.934614 0.871127
0.219830 0.866625 0.862178
0.220430 0.939677 0.853639
0.221040 0.839772 0.845091
0.221650 0.826483 0.836931
0.222260 0.865822 0.828912
0.222870 0.851774 0.821085
0.223470 0.844434 0.813688
0.224080 0.860466 0.806301
0.224690 0.816169 0.799233
0.225300 0.817478 0.792308
0.225910 0.809928 0.785531
0.226510 0.775480 0.779175
0.227120 0.781018 0.772824
0.227730 0.814940 0.766699
0.228340 0.756791 0.760753
0.228950 0.786264 0.754947
0.229560 0.733937 0.749398
0.230160 0.773883 0.744038
