# x and average y for the best solution found, chi=0.085562
#  q       exp_intensity   weighted_intensity
0.010030 190.333000 229.133862
0.010640 192.069000 228.173920
0.011250 206.540000 227.180029
0.011860 228.003000 226.137250
0.012470 231.394000 225.032446
0.013070 236.744000 223.918612
0.013680 222.673000 222.717175
0.014290 220.096000 221.479847
0.014900 214.207000 220.202915
0.015510 222.134000 218.871596
0.016120 220.268000 217.515194
0.016720 223.595000 216.123114
0.017330 226.095000 214.669088
0.017940 224.917000 213.182188
0.018550 223.444000 211.637692
0.019160 229.181000 210.070972
0.019760 216.492000 208.485838
0.020370 212.443000 206.839507
0.020980 204.653000 205.170618
0.021590 206.520000 203.449310
0.022200 203.172000 201.709647
0.022800 205.165000 199.965074
0.023410 206.846000 198.159689
0.024020 203.999000 196.337394
0.024630 203.913000 194.472978
0.025240 202.361000 192.592789
0.025840 200.515000 190.719505
0.026450 197.493000 188.788142
0.027060 194.726000 186.844630
0.027670 193.984000 184.877285
0.028280 190.939000 182.895338
0.028890 190.860000 180.896182
0.029490 186.814000 178.905927
0.030100 183.892000 176.873437
0.030710 181.229000 174.822511
0.031320 179.751000 172.761845
0.031930 177.989000 170.692352
0.032540 174.447000 168.609643
0.033140 174.478000 166.556713
0.033750 172.098000 164.460624
0.034360 172.722000 162.359749
0.034970 168.384000 160.255550
0.035580 163.867000 158.151866
0.036180 162.466000 156.080584
0.036790 158.998000 153.969776
0.037400 156.595000 151.862217
0.038010 155.327000 149.756383
0.038620 153.953000 147.651691
0.039220 151.679000 145.584185
0.039830 144.927000 143.486933
0.040440 143.318000 141.397272
0.041050 143.265000 139.311773
0.041660 139.179000 137.240025
0.042260 137.777000 135.209329
0.042870 135.408000 133.154213
0.043480 133.909000 131.113635
0.044090 131.443000 129.079588
0.044700 129.483000 127.060532
0.045300 128.285000 125.085776
0.045910 125.402000 123.089496
0.046520 124.535000 121.114553
0.047130 120.510000 119.149879
0.047740 118.349000 117.209481
0.048350 116.126000 115.283302
0.048950 113.686000 113.399091
0.049560 112.898000 111.513804
0.050170 111.503000 109.639401
0.050780 110.483000 107.786161
0.051390 108.193000 105.954211
0.051990 105.842000 104.164105
0.052600 103.094000 102.381756
0.053210 101.696000 100.611117
0.053820 99.193000 98.861589
0.054430 97.645500 97.137998
0.055040 95.918500 95.427881
0.055640 94.453700 93.782464
0.056250 92.807000 92.124895
0.056860 90.259700 90.489319
0.057470 89.277400 88.884174
0.058080 88.412300 87.293013
0.058680 87.507500 85.759985
0.059290 85.382500 84.221283
0.059900 83.849500 82.704514
0.060510 81.809200 81.220298
0.061120 80.140100 79.750467
0.061730 79.277400 78.313311
0.062330 77.921200 76.920495
0.062940 75.542400 75.521752
0.063550 73.853100 74.158949
0.064160 73.575900 72.811236
0.064770 72.239400 71.494937
0.065370 70.999900 70.223386
0.065980 70.398100 68.945287
0.066590 70.020900 67.703496
0.067200 67.110800 66.475606
0.067810 66.690500 65.273691
0.068410 65.537400 64.118740
0.069020 64.322400 62.958576
0.069630 62.851900 61.833592
0.070240 62.005200 60.722537
0.070850 60.399000 59.632959
0.071460 59.223500 58.571166
0.072060 59.022200 57.539232
0.072670 58.151900 56.522501
0.073280 57.456000 55.521515
0.073890 56.705600 54.539088
0.074500 55.548400 53.583159
0.075100 54.683500 52.654107
0.075710 53.383100 51.737391
0.076320 52.879800 50.838289
0.076930 52.154200 49.955149
0.077540 50.893800 49.097065
0.078140 49.686100 48.263245
0.078750 49.182500 47.438918
0.079360 48.387000 46.632587
0.079970 47.350600 45.838752
0.080580 47.268000 45.069301
0.081180 46.374200 44.321802
0.081790 45.615600 43.581054
0.082400 44.944000 42.858243
