# SAXS profile: number of points = 511, q_min = 0.012467, q_max = 0.322547, delta_q = 0.000608
# offset = 0.00000000000000, scaling c = 2.98047634363967e-05, Chi = 3.86900289052320
#  q       exp_intensity   model_intensity
0.01247    556.03900000    520.94483714   
0.01307    546.19200000    518.92723921   
0.01368    544.20200000    516.78137593   
0.01429    540.43900000    514.56706494   
0.01490    533.27100000    512.27819031   
0.01551    529.57000000    509.87251720   
0.01612    529.80300000    507.41780417   
0.01672    524.50300000    504.85260609   
0.01733    522.98500000    502.24086681   
0.01794    516.09200000    499.59017893   
0.01855    512.12000000    496.78033648   
0.01915    503.23500000    493.92080730   
0.01976    501.98700000    490.96793609   
0.02037    496.36700000    487.94133059   
0.02098    492.85600000    484.86762229   
0.02159    489.17200000    481.68080691   
0.02219    487.00400000    478.45391339   
0.02280    481.34300000    475.15070634   
0.02341    478.51100000    471.77436069   
0.02402    475.07000000    468.35972791   
0.02463    468.76500000    464.84495416   
0.02524    467.04800000    461.29194803   
0.02584    461.66800000    457.67825770   
0.02645    458.64300000    453.99483795   
0.02706    454.95300000    450.27846406   
0.02767    447.73700000    446.48132009   
0.02828    443.94600000    442.64611026   
0.02888    440.08800000    438.76480574   
0.02949    436.41800000    434.81927056   
0.03010    432.19800000    430.85293854   
0.03071    427.96800000    426.85837388   
0.03132    424.41200000    422.80642205   
0.03192    419.00300000    418.70109054   
0.03253    415.81600000    414.53975033   
0.03314    410.39600000    410.35668167   
0.03375    407.23800000    406.12770269   
0.03435    402.37200000    401.86719404   
0.03496    398.03500000    397.58421469   
0.03557    392.81200000    393.25491564   
0.03618    390.08800000    388.90968645   
0.03679    383.41000000    384.53347168   
0.03739    380.03500000    380.13185379   
0.03800    375.03300000    375.71637048   
0.03861    370.86300000    371.26721961   
0.03922    365.71200000    366.82001545   
0.03983    360.69800000    362.37626919   
0.04043    357.64400000    357.89008599   
0.04104    352.42000000    353.38565699   
0.04165    347.63100000    348.86324813   
0.04226    341.75200000    344.33466315   
0.04287    339.30500000    339.79775581   
0.04347    332.32500000    335.25315459   
0.04408    328.46200000    330.70573461   
0.04469    322.70500000    326.15411169   
0.04530    320.11600000    321.60209590   
0.04591    314.03500000    317.04967409   
0.04652    311.42000000    312.52597248   
0.04712    306.59200000    308.00291869   
0.04773    301.61200000    303.46196805   
0.04834    297.26000000    298.92813196   
0.04895    292.10400000    294.39994142   
0.04956    287.17400000    289.88677467   
0.05016    282.61000000    285.38063286   
0.05077    278.43900000    280.88975287   
0.05138    274.21400000    276.41405258   
0.05199    269.57500000    271.94752434   
0.05260    265.02500000    267.53394638   
0.05320    261.14800000    263.12347897   
0.05381    256.20300000    258.71690887   
0.05442    252.72200000    254.33486246   
0.05503    247.69900000    249.96560491   
0.05563    244.31700000    245.63350617   
0.05624    238.71900000    241.31840548   
0.05685    235.83100000    237.02883729   
0.05746    231.18900000    232.79028312   
0.05807    227.05300000    228.57107151   
0.05867    222.86800000    224.37432491   
0.05928    219.73500000    220.20138059   
0.05989    214.75700000    216.05577155   
0.06050    211.44500000    211.95446431   
0.06111    206.70600000    207.87277078   
0.06171    203.08000000    203.83760273   
0.06232    198.20900000    199.83370058   
0.06293    194.75600000    195.85738654   
0.06354    190.93600000    191.95150369   
0.06415    187.53300000    188.06531161   
0.06475    183.05400000    184.21259498   
0.06536    178.93200000    180.39877935   
0.06597    175.70600000    176.61121976   
0.06658    170.93100000    172.88738807   
0.06719    168.57000000    169.19287649   
0.06779    163.97900000    165.55718894   
0.06840    161.34700000    161.95694464   
0.06901    156.86300000    158.37602343   
0.06962    153.99500000    154.86531010   
0.07023    150.21400000    151.38178523   
0.07083    146.95600000    147.94389491   
0.07144    142.97600000    144.55989495   
0.07205    140.39400000    141.20341755   
0.07266    136.43200000    137.92831162   
0.07327    133.54900000    134.68027433   
0.07387    130.05800000    131.46680865   
0.07448    127.40600000    128.31413960   
0.07509    124.34500000    125.18875257   
0.07570    121.62900000    122.12897275   
0.07631    119.23100000    119.11437670   
0.07691    115.77600000    116.14408239   
0.07752    112.49400000    113.23031025   
0.07813    109.28700000    110.34259429   
0.07874    107.58000000    107.51630618   
0.07935    103.78400000    104.73480940   
0.07995    102.22300000    101.98700377   
0.08056    98.67570000     99.32098088    
0.08117    96.42100000     96.68060945    
0.08178    93.34060000     94.08908659    
0.08239    90.87360000     91.54728291    
0.08299    88.27780000     89.03387261    
0.08360    86.03500000     86.60627127    
0.08421    83.76200000     84.20313967    
0.08482    81.67170000     81.84470982    
0.08543    78.92510000     79.54032841    
0.08604    77.25500000     77.26325499    
0.08664    74.25720000     75.05817242    
0.08725    72.87160000     72.88729165    
0.08786    70.01800000     70.76505784    
0.08847    68.49760000     68.69466679    
0.08908    66.22130000     66.64908314    
0.08968    64.02310000     64.66855843    
0.09029    62.44160000     62.72602243    
0.09090    60.41000000     60.82487050    
0.09151    58.87380000     58.97852696    
0.09212    56.78630000     57.15661840    
0.09272    55.28080000     55.39265505    
0.09333    53.54870000     53.66679387    
0.09394    51.77600000     51.97281972    
0.09455    49.79590000     50.34551313    
0.09516    48.49840000     48.74156653    
0.09576    46.82290000     47.18416324    
0.09637    45.21310000     45.66738226    
0.09698    43.78570000     44.17655220    
0.09759    42.65250000     42.75290508    
0.09820    41.30920000     41.35068296    
0.09880    39.89090000     39.98874772    
0.09941    38.79550000     38.66895604    
0.10002    37.41950000     37.37138819    
0.10063    35.68900000     36.13654732    
0.10124    34.54810000     34.92323344    
0.10184    33.84830000     33.74408911    
0.10245    32.55420000     32.60792183    
0.10306    31.85630000     31.49250664    
0.10367    30.59470000     30.43097738    
0.10428    29.84020000     29.39290728    
0.10488    28.55270000     28.38324500    
0.10549    27.81730000     27.41643783    
0.10610    26.66470000     26.46874463    
0.10671    25.98080000     25.56682058    
0.10731    24.97650000     24.68940381    
0.10792    24.23770000     23.83478348    
0.10853    23.51410000     23.02260775    
0.10914    22.69240000     22.22783230    
0.10975    21.95700000     21.47100030    
0.11035    21.22860000     20.73928431    
0.11096    20.89500000     20.02546853    
0.11157    19.85700000     19.35448054    
0.11218    19.38120000     18.69804517    
0.11279    18.46500000     18.06983632    
0.11339    18.00020000     17.46796152    
0.11400    17.34600000     16.88048701    
0.11461    16.81870000     16.33328863    
0.11522    16.34320000     15.79885328    
0.11583    16.09550000     15.28708921    
0.11643    15.36240000     14.80089099    
0.11704    15.10630000     14.32735406    
0.11765    14.62630000     13.88658212    
0.11826    14.27420000     13.45904901    
0.11887    13.82700000     13.04935577    
0.11947    13.45800000     12.66475837    
0.12008    13.32440000     12.29104360    
0.12069    13.03260000     11.94171737    
0.12130    12.89110000     11.60605179    
0.12191    12.45090000     11.28450428    
0.12251    12.17850000     10.98628945    
0.12312    12.15780000     10.69709612    
0.12373    11.74360000     10.42686115    
0.12434    11.64620000     10.17031518    
0.12495    11.19740000     9.92463199     
0.12555    10.82610000     9.69831890     
0.12616    10.49820000     9.47940243     
0.12677    10.53590000     9.27562938     
0.12738    10.27180000     9.08454306     
0.12799    10.13760000     8.90112266     
0.12859    10.16290000     8.73463342     
0.12920    10.05950000     8.57442886     
0.12981    9.87258000      8.42602487     
0.13042    9.60138000      8.28778469     
0.13103    9.58600000      8.15480964     
0.13164    9.25123000      8.03647682     
0.13224    9.50976000      7.92317995     
0.13285    9.12623000      7.81744768     
0.13346    9.25175000      7.72093540     
0.13407    9.20090000      7.62873016     
0.13467    9.06979000      7.54713535     
0.13528    9.00109000      7.46994170     
0.13589    8.74880000      7.39780260     
0.13650    8.78675000      7.33373802     
0.13711    8.79924000      7.27276225     
0.13772    8.69889000      7.21799051     
0.13832    8.51532000      7.16750919     
0.13893    8.40867000      7.12081367     
0.13954    8.24354000      7.07923608     
0.14015    8.48124000      7.03985292     
0.14075    8.29850000      7.00529701     
0.14136    8.19783000      6.97328363     
0.14197    8.16680000      6.94298637     
0.14258    8.25762000      6.91664060     
0.14319    8.14996000      6.89175453     
0.14380    8.22964000      6.86970918     
0.14440    8.23336000      6.84917168     
0.14501    8.26182000      6.82945387     
0.14562    8.20295000      6.81259433     
0.14623    8.05081000      6.79612120     
0.14683    8.34178000      6.78029664     
0.14744    8.04035000      6.76576098     
0.14805    8.17686000      6.75170867     
0.14866    8.18327000      6.73769187     
0.14927    7.94334000      6.72406263     
0.14988    7.80967000      6.71092839     
0.15048    7.92638000      6.69716663     
0.15109    7.87781000      6.68326717     
0.15170    7.77636000      6.66950808     
0.15231    8.07472000      6.65496472     
0.15291    7.62905000      6.63965236     
0.15352    7.74574000      6.62384569     
0.15413    7.54054000      6.60752557     
0.15474    7.53484000      6.58962833     
0.15535    7.60761000      6.57111434     
0.15596    7.44386000      6.55213644     
0.15656    7.60558000      6.53092979     
0.15717    7.54509000      6.50911811     
0.15778    7.72564000      6.48621548     
0.15839    7.52942000      6.46158256     
0.15899    7.58870000      6.43596148     
0.15960    7.50243000      6.40864990     
0.16021    7.32866000      6.38031447     
0.16082    7.39308000      6.35007895     
0.16143    6.98932000      6.31850668     
0.16204    7.14766000      6.28619108     
0.16264    7.08929000      6.25098262     
0.16325    7.07400000      6.21500962     
0.16386    7.10864000      6.17794915     
0.16447    6.91597000      6.13895820     
0.16507    6.83593000      6.09901322     
0.16568    6.53958000      6.05643046     
0.16629    6.74177000      6.01293524     
0.16690    6.65289000      5.96844597     
0.16751    6.56535000      5.92151277     
0.16811    6.66112000      5.87378301     
0.16872    6.53160000      5.82472567     
0.16933    6.35940000      5.77413268     
0.16994    6.32649000      5.72225451     
0.17055    6.40632000      5.66898361     
0.17116    6.24232000      5.61492350     
0.17176    6.30780000      5.55901075     
0.17237    6.15698000      5.50228316     
0.17298    5.99485000      5.44503501     
0.17359    5.98324000      5.38613521     
0.17419    5.94711000      5.32650570     
0.17480    5.87797000      5.26545583     
0.17541    5.69406000      5.20372908     
0.17602    5.78427000      5.14162288     
0.17663    5.72370000      5.07781152     
0.17724    5.69211000      5.01374525     
0.17784    5.48805000      4.94927436     
0.17845    5.53170000      4.88376090     
0.17906    5.42415000      4.81784963     
0.17967    5.18788000      4.75161398     
0.18027    5.15415000      4.68511683     
0.18088    4.89840000      4.61830302     
0.18149    4.87048000      4.55059481     
0.18210    4.77974000      4.48271360     
0.18271    4.72775000      4.41503881     
0.18332    4.71760000      4.34701245     
0.18392    4.76172000      4.27865907     
0.18453    4.52963000      4.21071657     
0.18514    4.62832000      4.14285942     
0.18575    4.56521000      4.07508921     
0.18635    4.30810000      4.00725627     
0.18696    4.22466000      3.93937863     
0.18757    4.17785000      3.87226621     
0.18818    4.18202000      3.80529139     
0.18879    3.94376000      3.73852747     
0.18940    3.92099000      3.67239632     
0.19000    3.86836000      3.60661145     
0.19061    3.62278000      3.54184552     
0.19122    3.60272000      3.47725176     
0.19183    3.55626000      3.41296385     
0.19243    3.62011000      3.34980056     
0.19304    3.38613000      3.28716394     
0.19365    3.63069000      3.22557062     
0.19426    3.43622000      3.16441458     
0.19487    3.42056000      3.10384780     
0.19548    3.54543000      3.04462411     
0.19608    3.20603000      2.98599102     
0.19669    3.14040000      2.92871491     
0.19730    3.15445000      2.87203902     
0.19791    3.10859000      2.81598346     
0.19851    2.92713000      2.76166754     
0.19912    2.86986000      2.70794691     
0.19973    2.64854000      2.65533478     
0.20034    2.48592000      2.60390479     
0.20095    2.66601000      2.55341291     
0.20156    2.48586000      2.50457912     
0.20216    2.52102000      2.45636015     
0.20277    2.53897000      2.40938738     
0.20338    2.26391000      2.36374904     
0.20399    2.33342000      2.31891704     
0.20459    2.27647000      2.27604988     
0.20520    2.24509000      2.23380055     
0.20581    2.25696000      2.19269820     
0.20642    2.25541000      2.15315559     
0.20703    1.91047000      2.11440401     
0.20763    2.12634000      2.07753420     
0.20824    1.94504000      2.04144505     
0.20885    2.01981000      2.00652856     
0.20946    2.12149000      1.97318389     
0.21007    1.97096000      1.94057957     
0.21068    2.04759000      1.90983317     
0.21128    1.92540000      1.87998994     
0.21189    1.91239000      1.85118396     
0.21250    1.84133000      1.82386899     
0.21311    1.77491000      1.79724975     
0.21371    1.77306000      1.77236316     
0.21432    1.82515000      1.74853387     
0.21493    1.71274000      1.72563756     
0.21554    1.63792000      1.70419304     
0.21615    1.73727000      1.68342330     
0.21676    1.65448000      1.66418687     
0.21736    1.61649000      1.64602479     
0.21797    1.56538000      1.62858786     
0.21858    1.55425000      1.61262621     
0.21919    1.52050000      1.59731300     
0.21979    1.52235000      1.58329331     
0.22040    1.49187000      1.57036293     
0.22101    1.50582000      1.55801533     
0.22162    1.65473000      1.54722244     
0.22223    1.50242000      1.53693932     
0.22284    1.53635000      1.52751185     
0.22344    1.36527000      1.51920847     
0.22405    1.19297000      1.51144686     
0.22466    1.35094000      1.50502952     
0.22527    1.43693000      1.49915546     
