# SAXS profile: number of points = 511, q_min = 0.012467, q_max = 0.322547, delta_q = 0.000608
# offset = 0.00000000000000, scaling c = 4.11617164374988e-05, Chi = 4.48958827903763
#  q       exp_intensity   model_intensity
0.01247    569.58200000    533.90039750   
0.01307    560.23500000    531.87653600   
0.01368    559.94300000    529.72313774   
0.01429    554.71800000    527.50049559   
0.01490    555.92600000    525.20242247   
0.01551    548.84300000    522.78598965   
0.01612    545.64800000    520.33076898   
0.01672    542.15600000    517.81034708   
0.01733    537.47800000    515.18450207   
0.01794    532.76500000    512.47043243   
0.01855    527.03200000    509.63809026   
0.01915    523.19800000    506.75992701   
0.01976    520.96600000    503.78639501   
0.02037    514.62200000    500.73734953   
0.02098    511.53700000    497.64006466   
0.02159    507.72000000    494.42665780   
0.02219    503.34600000    491.17199361   
0.02280    499.35400000    487.83874690   
0.02341    496.62500000    484.42998201   
0.02402    488.34400000    480.98167405   
0.02463    487.30100000    477.42964901   
0.02524    480.81800000    473.83788952   
0.02584    479.93400000    470.18306162   
0.02645    471.85300000    466.45546375   
0.02706    468.38100000    462.69344882   
0.02767    463.22100000    458.84690037   
0.02828    458.85600000    454.98324554   
0.02888    456.25400000    451.09887626   
0.02949    450.74700000    447.10515491   
0.03010    447.90900000    443.07251636   
0.03071    442.39500000    438.97376113   
0.03132    438.06700000    434.83660165   
0.03192    432.75700000    430.66371978   
0.03253    429.53300000    426.43071469   
0.03314    422.69300000    422.17429246   
0.03375    420.10200000    417.86827523   
0.03435    414.33400000    413.52789609   
0.03496    411.78400000    409.16302777   
0.03557    406.40200000    404.74734346   
0.03618    402.21900000    400.32717343   
0.03679    395.64900000    395.90414473   
0.03739    391.60300000    391.42308496   
0.03800    386.77300000    386.91054227   
0.03861    381.43300000    382.35969579   
0.03922    375.60800000    377.79658503   
0.03983    370.97000000    373.21168948   
0.04043    367.23500000    368.60652319   
0.04104    362.36200000    363.99161633   
0.04165    357.49100000    359.35465046   
0.04226    352.33000000    354.70965801   
0.04287    349.44500000    350.05384968   
0.04347    343.19700000    345.41763126   
0.04408    338.60200000    340.78026736   
0.04469    333.09800000    336.10096065   
0.04530    328.68300000    331.41943818   
0.04591    322.86200000    326.73562581   
0.04652    320.12800000    322.05230251   
0.04712    314.15300000    317.37006262   
0.04773    310.65400000    312.69174653   
0.04834    304.65700000    308.01887664   
0.04895    301.10900000    303.35032842   
0.04956    294.81000000    298.72489205   
0.05016    290.02600000    294.09932519   
0.05077    286.29700000    289.46216169   
0.05138    281.23600000    284.83883888   
0.05199    276.59800000    280.22387905   
0.05260    271.05800000    275.63522517   
0.05320    267.04800000    271.05730301   
0.05381    262.23600000    266.49964491   
0.05442    258.53900000    261.98622341   
0.05503    253.81100000    257.49308647   
0.05563    249.71800000    253.00705539   
0.05624    244.60500000    248.53784000   
0.05685    241.25400000    244.09388320   
0.05746    235.66300000    239.68386354   
0.05807    232.63800000    235.29020724   
0.05867    227.52700000    230.93972360   
0.05928    223.70100000    226.62525864   
0.05989    219.41300000    222.35215866   
0.06050    215.40500000    218.10230131   
0.06111    211.19700000    213.86765702   
0.06171    207.60300000    209.68047275   
0.06232    202.33500000    205.52536279   
0.06293    198.94100000    201.39855423   
0.06354    194.54800000    197.34736251   
0.06415    190.79700000    193.31604560   
0.06475    186.53600000    189.31669933   
0.06536    183.10200000    185.35768407   
0.06597    179.71600000    181.42589004   
0.06658    175.37800000    177.56039517   
0.06719    172.88200000    173.72635834   
0.06779    168.09500000    169.95566890   
0.06840    164.91100000    166.22018770   
0.06901    159.94600000    162.50397319   
0.06962    157.62300000    158.86139534   
0.07023    153.64000000    155.24740849   
0.07083    150.59800000    151.68141030   
0.07144    146.05300000    148.18465094   
0.07205    143.46000000    144.71884685   
0.07266    139.61200000    141.30946574   
0.07327    136.62900000    137.93525185   
0.07387    133.48800000    134.60595296   
0.07448    130.52300000    131.34102464   
0.07509    126.97600000    128.10718849   
0.07570    124.16100000    124.95535190   
0.07631    121.17400000    121.83749502   
0.07691    117.79900000    118.75295455   
0.07752    114.94900000    115.73954165   
0.07813    111.95900000    112.75560533   
0.07874    110.04500000    109.83690774   
0.07935    106.17400000    106.97295339   
0.07995    104.31100000    104.15017582   
0.08056    101.07100000    101.39265130   
0.08117    98.03290000     98.66374354    
0.08178    95.17080000     95.99463936    
0.08239    92.66850000     93.38545718    
0.08299    90.74050000     90.81049496    
0.08360    87.88630000     88.30626348    
0.08421    86.10690000     85.83122452    
0.08482    83.70990000     83.41000896    
0.08543    81.29290000     81.05290515    
0.08604    79.27310000     78.72707796    
0.08664    76.78330000     76.46837488    
0.08725    74.30800000     74.24286470    
0.08786    71.83030000     72.06456646    
0.08847    69.84290000     69.95373157    
0.08908    67.50350000     67.87189542    
0.08968    66.21850000     65.85138622    
0.09029    64.14470000     63.86798428    
0.09090    62.29500000     61.92500616    
0.09151    60.75080000     60.05161426    
0.09212    57.94740000     58.20492777    
0.09272    56.79960000     56.41329849    
0.09333    54.26880000     54.66177926    
0.09394    53.15690000     52.94382744    
0.09455    50.95790000     51.29677034    
0.09516    49.64530000     49.67413366    
0.09576    47.86200000     48.09976177    
0.09637    46.52190000     46.56791672    
0.09698    45.24860000     45.06323925    
0.09759    43.79930000     43.62947215    
0.09820    42.25870000     42.21784069    
0.09880    41.01890000     40.84771880    
0.09941    39.52220000     39.52140771    
0.10002    38.26190000     38.21821662    
0.10063    37.10970000     36.98075991    
0.10124    35.98030000     35.76531208    
0.10184    34.88380000     34.58479864    
0.10245    33.55290000     33.45163578    
0.10306    32.45410000     32.34018577    
0.10367    31.35320000     31.27739374    
0.10428    30.64130000     30.24017853    
0.10488    29.39320000     29.23393554    
0.10549    28.51870000     28.27427954    
0.10610    27.44050000     27.33376654    
0.10671    26.84200000     26.43459932    
0.10731    26.08070000     25.56177860    
0.10792    25.23240000     24.71346511    
0.10853    24.34250000     23.91061024    
0.10914    23.68210000     23.12446527    
0.10975    22.63530000     22.37245930    
0.11035    21.88520000     21.64858193    
0.11096    21.20420000     20.94475183    
0.11157    20.67310000     20.27929781    
0.11218    19.93300000     19.62867153    
0.11279    19.50180000     19.00762265    
0.11339    18.81700000     18.41414997    
0.11400    18.47910000     17.83572544    
0.11461    17.64870000     17.29313388    
